state,constituency_id,constituency_x,actual_winner,actual_party,actual_vote_share,constituency_y,sim_winner,sim_party,sim_vote_share,sim_alliance,flipped
Maharashtra,MAHARASHTRA__SATARA,Satara,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,BJP,47.673797416369226,Satara,SHASHIKANT JAYVANTRAO SHINDE,NCPSP,46.328176037964454,INDIA,True
West Bengal,WEST_BENGAL__BISHNUPUR,Bishnupur,KHAN SAUMITRA,BJP,44.92651954722725,Bishnupur,SUJATA MONDAL,AITC,45.82963881039753,INDIA,True
Uttar Pradesh,UTTAR_PRADESH__AKBARPUR,Akbarpur,DEVENDRA SINGH ALIAS BHOLE SINGH,BJP,47.603070233947555,Akbarpur,RAJARAM PAL,SP,45.79434528910163,INDIA,True
Uttar Pradesh,UTTAR_PRADESH__SHAHJAHANPUR,Shahjahanpur,ARUN KUMAR SAGAR,BJP,47.49715923205508,Shahjahanpur,JYOTSNA GOND,SP,45.33272724542862,INDIA,True
Uttar Pradesh,UTTAR_PRADESH__ALIGARH,Aligarh,SATISH KUMAR GAUTAM,BJP,44.2781943343986,Aligarh,BIJENDRA SINGH,SP,45.17175769200611,INDIA,True
Uttar Pradesh,UTTAR_PRADESH__MISRIKH,Misrikh,ASHOK KUMAR RAWAT,BJP,45.15434184772948,Misrikh,SANGITA RAJVANSHI,SP,44.25752760896961,INDIA,True
Uttar Pradesh,UTTAR_PRADESH__HARDOI,Hardoi,JAI PRAKASH,BJP,44.249697304647874,Hardoi,USHA VERMA,SP,43.997612626250586,INDIA,True
Uttar Pradesh,UTTAR_PRADESH__DOMARIYAGANJ,Domariyaganj,JAGDAMBIKA PAL,BJP,45.46799939153946,Domariyaganj,BHISHMA SHANKAR ALIAS KUSHAL TIWARI,SP,43.556940142632776,INDIA,True
Uttar Pradesh,UTTAR_PRADESH__AMROHA,Amroha,KANWAR SINGH TANWAR,BJP,42.90179978211742,Amroha,KUNWAR DANISH ALI,INC,41.73790048246467,INDIA,True
West Bengal,WEST_BENGAL__PURULIA,Purulia,JYOTIRMAY SINGH MAHATO,BJP,40.34042808388737,Purulia,SHANTIRAM MAHATO,AITC,40.44720283526628,INDIA,True
Maharashtra,MAHARASHTRA__AKOLA,Akola,ANUP SANJAY DHOTRE,BJP,38.96009793090279,Akola,ABHAY KASHINATH PATIL,INC,37.87563979470359,INDIA,True
Madhya Pradesh,MADHYA_PRADESH__INDORE,INDORE,SHANKAR LALWANI,BJP,78.53880489228973,INDORE,SHANKAR LALWANI,BJP,78.53880489228975,NDA,False
Gujarat,GUJARAT__NAVSARI,Navsari,C R PATIL,BJP,77.04772622655834,Navsari,C R PATIL,BJP,77.04772622655834,NDA,False
Madhya Pradesh,MADHYA_PRADESH__VIDISHA,VIDISHA,SHIVRAJ SINGH CHOUHAN,BJP,76.69796064734986,VIDISHA,SHIVRAJ SINGH CHOUHAN,BJP,76.69796064734984,NDA,False
Gujarat,GUJARAT__GANDHINAGAR,Gandhinagar,AMIT SHAH,BJP,76.48437511820984,Gandhinagar,AMIT SHAH,BJP,76.48437511820985,NDA,False
Tripura,TRIPURA__TRIPURA_WEST,Tripura West,BIPLAB KUMAR DEB,BJP,72.84959857299789,Tripura West,BIPLAB KUMAR DEB,BJP,72.84959857299789,NDA,False
Gujarat,GUJARAT__VADODARA,Vadodara,DR. HEMANG JOSHI,BJP,72.0364410645886,Vadodara,DR. HEMANG JOSHI,BJP,72.0364410645886,NDA,False
Gujarat,GUJARAT__PANCHMAHAL,Panchmahal,RAJPALSINH MAHENDRASINH JADAV,BJP,70.22369480431676,Panchmahal,RAJPALSINH MAHENDRASINH JADAV,BJP,70.22369480431676,NDA,False
West Bengal,WEST_BENGAL__DIAMOND_HARBOUR,Diamond harbour,ABHISHEK BANERJEE,AITC,68.47519984426617,Diamond harbour,ABHISHEK BANERJEE,AITC,69.62706452165787,INDIA,False
Tripura,TRIPURA__TRIPURA_EAST,Tripura East,KRITI DEVI DEBBARMAN,BJP,68.53708527828836,Tripura East,KRITI DEVI DEBBARMAN,BJP,68.53708527828836,NDA,False
Madhya Pradesh,MADHYA_PRADESH__SAGAR,SAGAR,DR. LATA WANKHEDE,BJP,68.48721784122188,SAGAR,DR. LATA WANKHEDE,BJP,68.48721784122189,NDA,False
Gujarat,GUJARAT__BHAVNAGAR,Bhavnagar,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),BJP,68.45503193179735,Bhavnagar,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),BJP,68.45503193179734,NDA,False
Gujarat,GUJARAT__AHMEDABAD_EAST,Ahmedabad East,HASMUKHBHAI PATEL (H.S.PATEL),BJP,68.28258174183468,Ahmedabad East,HASMUKHBHAI PATEL (H.S.PATEL),BJP,68.28258174183468,NDA,False
Madhya Pradesh,MADHYA_PRADESH__JABALPUR,JABALPUR,ASHISH DUBEY,BJP,68.20045833351315,JABALPUR,ASHISH DUBEY,BJP,68.20045833351315,NDA,False
Gujarat,GUJARAT__PORBANDAR,Porbandar,DR. MANSUKH MANDAVIYA,BJP,68.14982949472348,Porbandar,DR. MANSUKH MANDAVIYA,BJP,68.14982949472348,NDA,False
Uttar Pradesh,UTTAR_PRADESH__RAE_BARELI,Rae Bareli,RAHUL GANDHI,INC,66.1697871189807,Rae Bareli,RAHUL GANDHI,INC,67.84826981715221,INDIA,False
Madhya Pradesh,MADHYA_PRADESH__KHAJURAHO,KHAJURAHO,VISHNU DATT SHARMA (V.D.SHARMA),BJP,67.75331632429399,KHAJURAHO,VISHNU DATT SHARMA (V.D.SHARMA),BJP,67.753316324294,NDA,False
Gujarat,GUJARAT__RAJKOT,Rajkot,PARSHOTTAMBHAI RUPALA,BJP,67.36990220974259,Rajkot,PARSHOTTAMBHAI RUPALA,BJP,67.36990220974259,NDA,False
Madhya Pradesh,MADHYA_PRADESH__GUNA,GUNA,JYOTIRADITYA M. SCINDIA,BJP,67.20955388326686,GUNA,JYOTIRADITYA M. SCINDIA,BJP,67.20955388326686,NDA,False
Gujarat,GUJARAT__AMRELI,Amreli,BHARATBHAI MANUBHAI SUTARIYA,BJP,66.27735827097781,Amreli,BHARATBHAI MANUBHAI SUTARIYA,BJP,66.27735827097781,NDA,False
Chhattisgarh,CHHATTISGARH__RAIPUR,RAIPUR,BRIJMOHAN AGRAWAL,BJP,66.19490721629994,RAIPUR,BRIJMOHAN AGRAWAL,BJP,66.19490721629994,NDA,False
Madhya Pradesh,MADHYA_PRADESH__MANDSOUR,MANDSOUR,SUDHEER GUPTA,BJP,65.97602218917162,MANDSOUR,SUDHEER GUPTA,BJP,65.97602218917162,NDA,False
Madhya Pradesh,MADHYA_PRADESH__BHOPAL,BHOPAL,ALOK SHARMA,BJP,65.48213457386278,BHOPAL,ALOK SHARMA,BJP,65.48213457386277,NDA,False
Andhra Pradesh,ANDHRA_PRADESH__VISAKHAPATNAM,Visakhapatnam,SRIBHARAT MATHUKUMILI,TDP,65.42070829954042,Visakhapatnam,SRIBHARAT MATHUKUMILI,TDP,65.42070829954042,NDA,False
Madhya Pradesh,MADHYA_PRADESH__DAMOH,DAMOH,RAHUL SINGH LODHI,BJP,65.17947663057053,DAMOH,RAHUL SINGH LODHI,BJP,65.17947663057053,NDA,False
Madhya Pradesh,MADHYA_PRADESH__TIKAMGARH,TIKAMGARH,DR. VIRENDRA KUMAR,BJP,65.09982792997023,TIKAMGARH,DR. VIRENDRA KUMAR,BJP,65.09982792997022,NDA,False
Madhya Pradesh,MADHYA_PRADESH__HOSHANGABAD,HOSHANGABAD,DARSHAN SINGH CHOUDHARY,BJP,64.98777298726407,HOSHANGABAD,DARSHAN SINGH CHOUDHARY,BJP,64.98777298726407,NDA,False
Rajasthan,RAJASTHAN__RAJSAMAND,RAJSAMAND,MAHIMA KUMARI MEWAR,BJP,64.39565421677808,RAJSAMAND,MAHIMA KUMARI MEWAR,BJP,64.39565421677808,NDA,False
Uttarakhand,UTTARAKHAND__ALMORA,Almora,AJAY TAMTA,BJP,64.19879221597105,Almora,AJAY TAMTA,BJP,64.19879221597105,NDA,False
Gujarat,GUJARAT__MAHESANA,Mahesana,HARIBHAI PATEL,BJP,63.743386820724226,Mahesana,HARIBHAI PATEL,BJP,63.743386820724226,NDA,False
Maharashtra,MAHARASHTRA__MUMBAI_NORTH,Mumbai North,PIYUSH GOYAL,BJP,65.68330254284675,Mumbai North,PIYUSH GOYAL,BJP,63.316467214996706,NDA,False
Gujarat,GUJARAT__KHEDA,Kheda,DEVUSINH CHAUHAN,BJP,63.31047890543676,Kheda,DEVUSINH CHAUHAN,BJP,63.31047890543676,NDA,False
Gujarat,GUJARAT__AHMEDABAD_WEST,Ahmedabad West,DINESHBHAI MAKWANA (ADVOCATE),BJP,63.2810770437161,Ahmedabad West,DINESHBHAI MAKWANA (ADVOCATE),BJP,63.28107704371612,NDA,False
Madhya Pradesh,MADHYA_PRADESH__DEWAS,DEWAS,MAHENDRA SINGH SOLANKY,BJP,63.23180659776298,DEWAS,MAHENDRA SINGH SOLANKY,BJP,63.23180659776298,NDA,False
Madhya Pradesh,MADHYA_PRADESH__UJJAIN,UJJAIN,ANIL FIROJIYA,BJP,62.932153125893805,UJJAIN,ANIL FIROJIYA,BJP,62.93215312589382,NDA,False
Gujarat,GUJARAT__CHHOTA_UDAIPUR,Chhota Udaipur,JASHUBHAI BHILUBHAI RATHVA,BJP,62.83640144227546,Chhota Udaipur,JASHUBHAI BHILUBHAI RATHVA,BJP,62.83640144227546,NDA,False
Haryana,HARYANA__ROHTAK,ROHTAK,DEEPENDER SINGH HOODA,INC,62.76426853864725,ROHTAK,DEEPENDER SINGH HOODA,INC,62.76426853864723,INDIA,False
Rajasthan,RAJASTHAN__AJMER,AJMER,BHAGIRATH CHOUDHARY,BJP,62.22736161721109,AJMER,BHAGIRATH CHOUDHARY,BJP,62.227361617211095,NDA,False
Chhattisgarh,CHHATTISGARH__DURG,DURG,VIJAY BAGHEL,BJP,61.9979945384554,DURG,VIJAY BAGHEL,BJP,61.997994538455416,NDA,False
Karnataka,KARNATAKA__UTTARA_KANNADA,Uttara Kannada,VISHWESHWAR HEGDE KAGERI,BJP,61.966991378416026,Uttara Kannada,VISHWESHWAR HEGDE KAGERI,BJP,61.966991378416026,NDA,False
Rajasthan,RAJASTHAN__BHILWARA,BHILWARA,DAMODAR AGARWAL,BJP,61.91682734141115,BHILWARA,DAMODAR AGARWAL,BJP,61.916827341411164,NDA,False
Madhya Pradesh,MADHYA_PRADESH__SHAHDOL,SHAHDOL,SMT. HIMADRI SINGH,BJP,61.7304665832764,SHAHDOL,SMT. HIMADRI SINGH,BJP,61.7304665832764,NDA,False
Gujarat,GUJARAT__DAHOD,Dahod,JASWANTSINH SUMANBHAI BHABHOR,BJP,61.58621972397241,Dahod,JASWANTSINH SUMANBHAI BHABHOR,BJP,61.58621972397241,NDA,False
West Bengal,WEST_BENGAL__JAYNAGAR,Jaynagar,PRATIMA MONDAL,AITC,60.31925678068245,Jaynagar,PRATIMA MONDAL,AITC,61.51169828923627,INDIA,False
Telangana,TELANGANA__KHAMMAM,Khammam,RAMASAHAYAM RAGHURAM REDDY,INC,61.29141049626663,Khammam,RAMASAHAYAM RAGHURAM REDDY,INC,61.29141049626664,INDIA,False
Telangana,TELANGANA__HYDERABAD,Hyderabad,ASADUDDIN OWAISI,AIMIM,61.276154190779806,Hyderabad,ASADUDDIN OWAISI,AIMIM,61.276154190779806,UNKNOWN,False
Andhra Pradesh,ANDHRA_PRADESH__AMALAPURAM,Amalapuram,G M HARISH (BALAYOGI),TDP,61.25411765067565,Amalapuram,G M HARISH (BALAYOGI),TDP,61.25411765067565,NDA,False
Andhra Pradesh,ANDHRA_PRADESH__SRIKAKULAM,Srikakulam,KINJARAPU RAMMOHAN NAIDU,TDP,61.04528173014827,Srikakulam,KINJARAPU RAMMOHAN NAIDU,TDP,61.04528173014828,NDA,False
Uttarakhand,UTTARAKHAND__NAINITAL-UDHAMSINGH_NAGAR,Nainital-Udhamsingh Nagar,AJAY BHATT,BJP,61.03169312236181,Nainital-Udhamsingh Nagar,AJAY BHATT,BJP,61.03169312236181,NDA,False
Himachal Pradesh,HIMACHAL_PRADESH__KANGRA,KANGRA,DR RAJEEV BHARDWAJ,BJP,61.02927277146175,KANGRA,DR RAJEEV BHARDWAJ,BJP,61.02927277146175,NDA,False
Rajasthan,RAJASTHAN__JHALAWAR-BARAN,JHALAWAR-BARAN,DUSHYANT SINGH,BJP,60.88490295363993,JHALAWAR-BARAN,DUSHYANT SINGH,BJP,60.88490295363993,NDA,False
Madhya Pradesh,MADHYA_PRADESH__BETUL,BETUL,DURGADAS (D. D.) UIKEY,BJP,60.761020615750496,BETUL,DURGADAS (D. D.) UIKEY,BJP,60.76102061575048,NDA,False
Andhra Pradesh,ANDHRA_PRADESH__GUNTUR,Guntur,DR CHANDRA SEKHAR PEMMASANI,TDP,60.682306571411935,Guntur,DR CHANDRA SEKHAR PEMMASANI,TDP,60.682306571411935,NDA,False
Rajasthan,RAJASTHAN__JAIPUR,JAIPUR,MANJU SHARMA,BJP,60.60790373262952,JAIPUR,MANJU SHARMA,BJP,60.607903732629524,NDA,False
Telangana,TELANGANA__NALGONDA,Nalgonda,KUNDURU RAGHUVEER,INC,60.504704070895855,Nalgonda,KUNDURU RAGHUVEER,INC,60.504704070895855,INDIA,False
Maharashtra,MAHARASHTRA__CHANDRAPUR,Chandrapur,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,INC,57.875427775951735,Chandrapur,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,INC,60.48023007671893,INDIA,False
Rajasthan,RAJASTHAN__DAUSA,DAUSA,MURARI LAL MEENA,INC,60.24475778711218,DAUSA,MURARI LAL MEENA,INC,60.24475778711219,INDIA,False
Gujarat,GUJARAT__KACHCHH,Kachchh,CHAVDA VINOD LAKHAMSHI,BJP,60.22643328764734,Kachchh,CHAVDA VINOD LAKHAMSHI,BJP,60.22643328764735,NDA,False
Assam,ASSAM__SONITPUR,Sonitpur,RANJIT DUTTA,BJP,60.2101099910902,Sonitpur,RANJIT DUTTA,BJP,60.210109991090185,NDA,False
Karnataka,KARNATAKA__BANGALORE_SOUTH,Bangalore South,TEJASVI SURYA,BJP,60.09803560594297,Bangalore South,TEJASVI SURYA,BJP,60.09803560594298,NDA,False
Assam,ASSAM__DHUBRI,Dhubri,RAKIBUL HUSSAIN,INC,59.98859638540467,Dhubri,RAKIBUL HUSSAIN,INC,59.98859638540467,INDIA,False
Assam,ASSAM__SILCHAR,Silchar,PARIMAL SUKLABAIDYA,BJP,59.885205603684874,Silchar,PARIMAL SUKLABAIDYA,BJP,59.885205603684874,NDA,False
Kerala,KERALA__WAYANAD,Wayanad,RAHUL GANDHI,INC,59.69144048834051,Wayanad,RAHUL GANDHI,INC,59.69144048834051,INDIA,False
Karnataka,KARNATAKA__UDUPI_CHIKMAGALUR,Udupi Chikmagalur,KOTA SRINIVAS POOJARY,BJP,59.55940127767773,Udupi Chikmagalur,KOTA SRINIVAS POOJARY,BJP,59.55940127767773,NDA,False
Kerala,KERALA__MALAPPURAM,Malappuram,E.T. MOHAMMED BASHEER,IUML,59.345436986606856,Malappuram,E.T. MOHAMMED BASHEER,IUML,59.345436986606856,UNKNOWN,False
Rajasthan,RAJASTHAN__CHITTORGARH,CHITTORGARH,CHANDRA PRAKASH JOSHI,BJP,59.26352459043739,CHITTORGARH,CHANDRA PRAKASH JOSHI,BJP,59.26352459043739,NDA,False
Gujarat,GUJARAT__SURENDRANAGAR,Surendranagar,CHANDUBHAI CHHAGANBHAI SHIHORA,BJP,59.19768565208591,Surendranagar,CHANDUBHAI CHHAGANBHAI SHIHORA,BJP,59.197685652085916,NDA,False
Uttar Pradesh,UTTAR_PRADESH__MAINPURI,Mainpuri,DIMPLE YADAV,SP,56.78555536896673,Mainpuri,DIMPLE YADAV,SP,58.99060235718083,INDIA,False
Gujarat,GUJARAT__JAMNAGAR,Jamnagar,POONAMBEN HEMATBHAI MAADAM,BJP,58.98291057660752,Jamnagar,POONAMBEN HEMATBHAI MAADAM,BJP,58.98291057660753,NDA,False
Dadra & Nagar Haveli and Daman & Diu,DADRA_&_NAGAR_HAVELI_AND_DAMAN_&_DIU__DADAR_&_NAGAR_HAVELI,Dadar & Nagar Haveli,DELKAR KALABEN MOHANBHAI,BJP,58.89156954686071,Dadar & Nagar Haveli,DELKAR KALABEN MOHANBHAI,BJP,58.8915695468607,NDA,False
Maharashtra,MAHARASHTRA__OSMANABAD,Osmanabad,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,SHSUBT,58.448212875043325,Osmanabad,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,SHSUBT,58.85961670796369,INDIA,False
Uttarakhand,UTTARAKHAND__GARHWAL,Garhwal,ANIL BALUNI,BJP,58.60331339474472,Garhwal,ANIL BALUNI,BJP,58.603313394744724,NDA,False
Karnataka,KARNATAKA__MANDYA,Mandya,H.D. KUMARASWAMY,JD(S),58.33734515674188,Mandya,H.D. KUMARASWAMY,JD(S),58.33734515674188,UNKNOWN,False
Tamil Nadu,TAMIL_NADU__DINDIGUL,DINDIGUL,SACHITHANANTHAM R,CPIM,58.29303744451432,DINDIGUL,SACHITHANANTHAM R,CPIM,58.29303744451432,INDIA,False
NCT OF Delhi,NCT_OF_DELHI__NORTH-WEST_DELHI,North-West Delhi,YOGENDER CHANDOLIYA,BJP,58.26243421393256,North-West Delhi,YOGENDER CHANDOLIYA,BJP,58.26243421393256,NDA,False
Andhra Pradesh,ANDHRA_PRADESH__VIJAYAWADA,Vijayawada,KESINENI SIVANATH (CHINNI),TDP,58.2051516961606,Vijayawada,KESINENI SIVANATH (CHINNI),TDP,58.2051516961606,NDA,False
Himachal Pradesh,HIMACHAL_PRADESH__HAMIRPUR,HAMIRPUR,ANURAG SINGH THAKUR,BJP,57.96710090970463,HAMIRPUR,ANURAG SINGH THAKUR,BJP,57.96710090970463,NDA,False
Jharkhand,JHARKHAND__KODARMA,Kodarma,ANNPURNA DEVI,BJP,57.7867009644049,Kodarma,ANNPURNA DEVI,BJP,57.7867009644049,NDA,False
Andhra Pradesh,ANDHRA_PRADESH__ANAKAPALLE,Anakapalle,C.M.RAMESH,BJP,57.50023390365584,Anakapalle,C.M.RAMESH,BJP,57.50023390365584,NDA,False
Andhra Pradesh,ANDHRA_PRADESH__NARSAPURAM,Narsapuram,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),BJP,57.46071555037213,Narsapuram,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),BJP,57.46071555037213,NDA,False
Uttar Pradesh,UTTAR_PRADESH__GAUTAM_BUDDHA_NAGAR,Gautam Buddha Nagar,DR. MAHESH SHARMA,BJP,59.68569011246525,Gautam Buddha Nagar,DR. MAHESH SHARMA,BJP,57.39869662931865,NDA,False
Uttar Pradesh,UTTAR_PRADESH__BARABANKI,Barabanki,TANUJ PUNIA,INC,55.78087978466397,Barabanki,TANUJ PUNIA,INC,57.35442402491311,INDIA,False
Andhra Pradesh,ANDHRA_PRADESH__VIZIANAGARAM,Vizianagaram,APPALANAIDU KALISETTI,TDP,57.19588806396345,Vizianagaram,APPALANAIDU KALISETTI,TDP,57.195888063963466,NDA,False
West Bengal,WEST_BENGAL__BOLPUR,Bolpur,ASIT KUMAR MAL,AITC,55.979705195391475,Bolpur,ASIT KUMAR MAL,AITC,57.19373651282733,INDIA,False
Gujarat,GUJARAT__BARDOLI,Bardoli,PARBHUBHAI NAGARBHAI VASAVA,BJP,57.03958612234597,Bardoli,PARBHUBHAI NAGARBHAI VASAVA,BJP,57.03958612234599,NDA,False
Madhya Pradesh,MADHYA_PRADESH__KHANDWA,KHANDWA,GYANESHWAR PATIL,BJP,57.035044316124775,KHANDWA,GYANESHWAR PATIL,BJP,57.035044316124775,NDA,False
Meghalaya,MEGHALAYA__TURA,Tura,SALENG A SANGMA,INC,56.95654366996214,Tura,SALENG A SANGMA,INC,56.95654366996214,INDIA,False
Jharkhand,JHARKHAND__JAMSHEDPUR,Jamshedpur,BIDYUT BARAN MAHATO,BJP,56.837626572346124,Jamshedpur,BIDYUT BARAN MAHATO,BJP,56.837626572346124,NDA,False
Uttar Pradesh,UTTAR_PRADESH__GHAZIABAD,Ghaziabad,ATUL GARG,BJP,58.089810463605886,Ghaziabad,ATUL GARG,BJP,56.65637420566253,NDA,False
Tamil Nadu,TAMIL_NADU__CHENNAI_CENTRAL,CHENNAI CENTRAL,DAYANIDHI MARAN,DMK,56.648903769630785,CHENNAI CENTRAL,DAYANIDHI MARAN,DMK,56.648903769630785,INDIA,False
Uttar Pradesh,UTTAR_PRADESH__AMETHI,Amethi,KISHORI LAL,INC,54.985616990815465,Amethi,KISHORI LAL,INC,56.55112827355098,INDIA,False
Karnataka,KARNATAKA__SHIMOGA,Shimoga,B.Y.RAGHAVENDRA,BJP,56.542799137976104,Shimoga,B.Y.RAGHAVENDRA,BJP,56.542799137976104,NDA,False
Goa,GOA__NORTH_GOA,North Goa,SHRIPAD YESSO NAIK,BJP,56.436718698688615,North Goa,SHRIPAD YESSO NAIK,BJP,56.436718698688615,NDA,False
Karnataka,KARNATAKA__BANGALORE_NORTH,Bangalore North,SHOBHA KARANDLAJE,BJP,56.26514975144137,Bangalore North,SHOBHA KARANDLAJE,BJP,56.26514975144137,NDA,False
Karnataka,KARNATAKA__BANGALORE_RURAL,Bangalore Rural,DR C N MANJUNATH,BJP,56.2114881690405,Bangalore Rural,DR C N MANJUNATH,BJP,56.2114881690405,NDA,False
Tamil Nadu,TAMIL_NADU__TIRUVALLUR,TIRUVALLUR,Sasikanth Senthil,INC,56.21027329434368,TIRUVALLUR,Sasikanth Senthil,INC,56.21027329434368,INDIA,False
Gujarat,GUJARAT__VALSAD,Valsad,DHAVAL LAXMANBHAI PATEL,BJP,56.134848330151584,Valsad,DHAVAL LAXMANBHAI PATEL,BJP,56.134848330151584,NDA,False
Maharashtra,MAHARASHTRA__NANDURBAR,Nandurbar,ADV GOWAAL KAGADA PADAVI,INC,53.52763102286124,Nandurbar,ADV GOWAAL KAGADA PADAVI,INC,56.08851618470831,INDIA,False
Assam,ASSAM__GUWAHATI,Guwahati,BIJULI KALITA MEDHI,BJP,55.95180409518885,Guwahati,BIJULI KALITA MEDHI,BJP,55.95180409518884,NDA,False
Rajasthan,RAJASTHAN__PALI,PALI,P. P. CHAUDHARY,BJP,55.9436773271918,PALI,P. P. CHAUDHARY,BJP,55.943677327191786,NDA,False
Maharashtra,MAHARASHTRA__KALYAN,Kalyan,DR SHRIKANT EKNATH SHINDE,SHS,56.38478545254251,Kalyan,DR SHRIKANT EKNATH SHINDE,SHS,55.8265202500421,NDA,False
Maharashtra,MAHARASHTRA__JALGAON,Jalgaon,SMITA UDAY WAGH,BJP,57.66544996250704,Jalgaon,SMITA UDAY WAGH,BJP,55.78107139031332,NDA,False
Madhya Pradesh,MADHYA_PRADESH__DHAR,DHAR,SAVITRI THAKUR,BJP,55.74908564226789,DHAR,SAVITRI THAKUR,BJP,55.74908564226789,NDA,False
Bihar,BIHAR__MUZAFFARPUR,Muzaffarpur,RAJ BHUSHAN CHOUDHARY,BJP,55.70977832910846,Muzaffarpur,RAJ BHUSHAN CHOUDHARY,BJP,55.709778329108474,NDA,False
Andhra Pradesh,ANDHRA_PRADESH__NELLORE,Nellore,PRABHAKAR REDDY VEMIREDDY,TDP,55.69749260167383,Nellore,PRABHAKAR REDDY VEMIREDDY,TDP,55.69749260167383,NDA,False
Chhattisgarh,CHHATTISGARH__RAIGARH,RAIGARH,RADHESHYAM RATHIYA,BJP,55.629351016714104,RAIGARH,RADHESHYAM RATHIYA,BJP,55.62935101671411,NDA,False
Maharashtra,MAHARASHTRA__THANE,Thane,NARESH GANPAT MHASKE,SHS,56.08807181903461,Thane,NARESH GANPAT MHASKE,SHS,55.532744375281794,NDA,False
Maharashtra,MAHARASHTRA__GADCHIROLI_-_CHIMUR,Gadchiroli - Chimur,DR. KIRSAN NAMDEO,INC,52.96752289173155,Gadchiroli - Chimur,DR. KIRSAN NAMDEO,INC,55.52275039568843,INDIA,False
Jharkhand,JHARKHAND__PALAMU,Palamu,VISHNU DAYAL RAM,BJP,55.392316884992,Palamu,VISHNU DAYAL RAM,BJP,55.392316884992,NDA,False
Bihar,BIHAR__DARBHANGA,Darbhanga,GOPAL JEE THAKUR,BJP,55.32501972301852,Darbhanga,GOPAL JEE THAKUR,BJP,55.32501972301852,NDA,False
Karnataka,KARNATAKA__TUMKUR,Tumkur,V. SOMANNA,BJP,55.310556361535646,Tumkur,V. SOMANNA,BJP,55.310556361535646,NDA,False
NCT OF Delhi,NCT_OF_DELHI__WEST_DELHI,West Delhi,KAMALJEET SEHRAWAT,BJP,55.27460258944935,West Delhi,KAMALJEET SEHRAWAT,BJP,55.27460258944935,NDA,False
Telangana,TELANGANA__MAHABUBABAD,Mahabubabad,BALRAM NAIK PORIKA,INC,55.26530818390564,Mahabubabad,BALRAM NAIK PORIKA,INC,55.26530818390564,INDIA,False
Jharkhand,JHARKHAND__DHANBAD,Dhanbad,DULU MAHATO,BJP,55.26387475691645,Dhanbad,DULU MAHATO,BJP,55.263874756916465,NDA,False
Tamil Nadu,TAMIL_NADU__THOOTHUKKUDI,THOOTHUKKUDI,KANIMOZHI KARUNANIDHI,DMK,55.259543435739054,THOOTHUKKUDI,KANIMOZHI KARUNANIDHI,DMK,55.259543435739054,INDIA,False
