party_id,party_clean,party_raw
BJNP,BJNP,BJNP
BJP,BJP,BJP
BJSAP,BJSAP,BJSAP
BJSPP,BJSPP,BJSPP
BJSTP,BJSTP,BJSTP
BKNP,BKNP,BKNP
BKPP,BKPP,BKPP
BKRD,BKRD,BKrD
BKVP,BKVP,BKVP
BLND,BLND,BLND
BLOKSP,BLOKSP,BLokSP
BLRP,BLRP,BLRP
BLSD,BLSD,BLSD
BLSP,BLSP,BLSP
BMD,BMD,bmd
BMF,BMF,BMF
BMFP,BMFP,BMFP
BMJP,BMJP,BMJP
BMSM,BMSM,BMSM
BMTRP,BMTRP,BMtrP
BMUP,BMUP,BMUP
BMVSP,BMVSP,BMVSP
BNARP,BNARP,BNARP
BNAVP,BNAVP,BNavP
BND,BND,BND
BNDL,BNDL,BNDl
BNIP,BNIP,BNIP
BNJD,BNJD,BNJD
BNS,BNS,bns
BNSKP,BNSKP,BNSKP
BOPF,BOPF,BOPF
BPC,BPC,BPC
BPKP,BPKP,BPKP
BPSJP,BPSJP,BPSJP
BRKP(D),BRKP(D),BRKP(D)
BRM,BRM,BRM
BRP,BRP,BRP
BRPI,BRPI,BRPI
BRPPA,BRPPA,BRPPA
BRSP,BRSP,BRSP
BSCP,BSCP,BSCP
BSDL,BSDL,BSDL
BSHSP,BSHSP,BSHSP
BSKP,BSKP,BSKP
BSKRP,BSKRP,BSKRP
BSP,BSP,BSP
BSP(A),BSP(A),BSP(A)
BSPM,BSPM,BSPM
BSSPA,BSSPA,BSSPA
BSUSP,BSUSP,BSUSP
BTARP,BTARP,BTARP
BTP,BTP,BTP
BUNKD,BUNKD,BUNKD
BVA,BVA,BVA
BYPP,BYPP,BYPP
CDF,CDF,CDF
CHALP,CHALP,CHALP
CHKAP,CHKAP,CHKAP
COAP,COAP,CoAP
CPI,CPI,CPI
CPI(ML)(L),CPI(ML)(L),CPI(ML)(L)
CPIM,CPIM,CPIM
CSM,CSM,CSM
CVGRP,CVGRP,cvgrp
DABAP,DABAP,DABAP
DAMK,DAMK,DAMK
DCLF,DCLF,DCLF
DJHP,DJHP,DJHP
DKSP,DKSP,DKSP
DMDK,DMDK,DMDK
DMK,DMK,DMK
DMSK,DMSK,DMSK
DPI,DPI,DPI
DPIN,DPIN,DPIN
DPPS,DPPS,DPPS
DSPVAD,DSPVAD,DSPVAD
DSSP,DSSP,DSSP
DUUK,DUUK,DUUK
EP,EP,EP
ESP,ESP,ESP
ETMK,ETMK,ETMK
FDLP,FDLP,FDLP
FIP,FIP,FIP
FJP,FJP,FJP
FPI,FPI,FPI
GAAP,GAAP,GaAP
GAGUP,GAGUP,GAGUP
GGP,GGP,GGP
GJNP,GJNP,GJNP
GJPP,GJPP,GJPP
GPI,GPI,GPI
GRAC,GRAC,grac
HAMS,HAMS,HAMS
HAPA,HAPA,HAPa
HBP,HBP,HBP
HCP,HCP,HCP
HIMJKP,HIMJKP,HIMJKP
HIPPA,HIPPA,HiPPa
HJP,HJP,HJP
HMRD,HMRD,HMRD
HMSKP,HMSKP,HMSKP
HND,HND,HND
HSP,HSP,HSP
HSS,HSS,HSS
HUSP,HUSP,HuSP
ICF,ICF,ICF
IDRP,IDRP,IDRP
IGP,IGP,igp
IICR,IICR,IICR
ILP(AP),ILP(AP),ILP(AP)
IMK,IMK,IMK
INC,INC,INC
INCP,INCP,INCP
IND,IND,IND
INDPP,INDPP,INDPP
INL,INL,INL
INLD,INLD,INLD
IPBP,IPBP,IPBP
IPFT,IPFT,IPFT
IPGP,IPGP,IPGP
IRNP,IRNP,IRNP
IUC,IUC,IUC
IUML,IUML,IUML
IVD,IVD,IVD
JAAP,JAAP,JAAP
JAC,JAC,JAC
JAJGP,JAJGP,JAJGP
JANADIP,JANADIP,JANADIP
JANKRPR,JANKRPR,JANKRPR
JANSAPP,JANSAPP,JANSAPP
JANSP,JANSP,JanSP
JAPL,JAPL,JAPL
JASD,JASD,JaSD
JASP,JASP,JASP
JASSP,JASSP,JaSSP
JASWP,JASWP,JASWP
JD,JD,JD
JD(S),JD(S),JD(S)
JDL,JDL,JDL
JDR,JDR,JDR
JDU,JD(U),JD(U)
JESM,JESM,JeSM
JGHTP,JGHTP,JGHTP
JHAP,JHAP,JHAP
JHBHP,JHBHP,JHBHP
JHP,JHP,JHP
JHSPT,JHSPT,jhspt
JJJKP,JJJKP,JJJKP
JKIP,JKIP,JKiP
JKN,JKN,JKN
JKNPP,JKNPP,JKNPP
JKP,JKP,JKP
JKP(N),JKP(N),JKP(N)
JKPDP,JKPDP,JKPDP
JKPP,JKPP,JKPP
JKPPAP,JKPPAP,JKPPAP
JKPS,JKPS,JKPS
JLOKP,JLOKP,JLokP
JMBP,JMBP,JMBP
JMM,JMM,JMM
JMM(U),JMM(U),JMM(U)
JNJP,JNJP,JNJP
JNP,JNP,JnP
JNSMP,JNSMP,JNSMP
JP,JP,JP
JPC,JPC,JPC
JPD,JPD,JPD
JPJD,JPJD,JPJD
JPS,JPS,JPS
JRPA,JRPA,JRPa
JRVP,JRVP,JRVP
JSEP,JSEP,JSEP
JSP,JSP,JSP
JSVP,JSVP,JSVP
JTVP,JTVP,JTVP
JVBP,JVBP,JVBP
JVM,JVM,JVM
KAJP,KAJP,kajp
KARASP,KARASP,KARASP
KBD,KBD,KBD
KCVP,KCVP,KCVP
KEC,KEC,KEC
KEC(M),KEC(M),KEC(M)
KHSNP,KHSNP,KHSNP
KJP,KJP,KJP
KKJHS,KKJHS,KKJHS
KKMP,KKMP,KKMP
KMBS,KMBS,KMBS
KMSP,KMSP,KMSP
KPJP,KPJP,KPJP
KPOI,KPOI,KPOI
KPPR,KPPR,KPPR
KPPU,KPPU,KPPU
KRUP,KRUP,KRUP
KS,KS,KS
KSRP,KSRP,KSRP
KSRSP,KSRSP,KSRSP
LAJSP,LAJSP,LAJSP
LCD,LCD,LCD
LD,LD,LD
LIP,LIP,LIP
LJGP,LJGP,LJGP
LJP,LJP,LJP
LJSPTY,LJSPTY,LJSPty
LJVM,LJVM,LJVM
LKSGM,LKSGM,LKSGM
LOGAP,LOGAP,LOGAP
LOKJANP,LOKJANP,LOKJANP
LORP,LORP,LoRP
LPSP,LPSP,LPSP
LSD,LSD,LSD
LTSP,LTSP,LTSP
MADP,MADP,MADP
MAHKRS,MAHKRS,MAHKRS
MANJP,MANJP,ManJP
MANKP,MANKP,ManKP
MANPA,MANPA,MaNPa
MARD,MARD,MARD
MCPI,MCPI,MCPI
MDKMGPH,MDKMGPH,MDKMGPH
MDPF,MDPF,MDPF
MHD,MHD,MHD
MIMM,MIMM,mimm
MKAT,MKAT,MKat
MKDVP,MKDVP,MKDVP
MKUP,MKUP,MKUP
MLJK,MLJK,MLJK
MLPOIRF,MLPOIRF,MLPOIRF
MMKA,MMKA,MMKA
MNDP,MNDP,MNDP
MNF,MNF,MNF
MNM,MNM,MNM
MNVP,MNVP,MNVP
MOSP,MOSP,MOSP
MPEP,MPEP,MPEP
MPJVP,MPJVP,MPJVP
MPOI,MPOI,MPOI
MPP,MPP,MPP
MSHP,MSHP,MSHP
MSJP,MSJP,MSJP
MSKK,MSKK,MSKK
MWSP,MWSP,MwSP
MYSP,MYSP,MYSP
NABMUP,NABMUP,NABMUP
NALAP,NALAP,NALAP
NALP,NALP,NaLP
NAP,NAP,NAP
NAPT,NAPT,NAPt
NATJUP,NATJUP,NATJUP
NATWOMP,NATWOMP,NATWOMP
NAVAP,NAVAP,NavaP
NAWPP,NAWPP,NAWPP
NCP,NCP,NCP
NDDHP,NDDHP,NDDHP
NDEP,NDEP,NDEP
NDPOI,NDPOI,NDPOI
NDPP,NDPP,NDPP
NED,NED,NED
NEINDP,NEINDP,NEINDP
NEP,NEP,NEP
NFFF,NFFF,NFFF
NIDP,NIDP,NIDP
NIP,NIP,NIP
NIRBHP,NIRBHP,NIRBHP
NJANP,NJANP,NJANP
NJP,NJP,NJP
NNKP,NNKP,NNKP
NNMP,NNMP,NNMP
NNP,NNP,NNP
NOTA,NOTA,NOTA
NPEP,NPEP,NPEP
NPF,NPF,NPF
NPRP,NPRP,NPRP
NPSF,NPSF,NPSF
NPT,NPT,NPT
NRCONG,NRCONG,NRCong
NRCP,NRCP,NRCP
NSBHP,NSBHP,NSBHP
NSCBRAP,NSCBRAP,NSCBRAP
NTK,NTK,NTK
NVSP,NVSP,NVSP
NYP,NYP,NYP
OPD,OPD,OPD
PAP,PAP,PAP
PBI,PBI,PBI
PDP,PDP,PDP
PDS,PDS,PDS
PECP,PECP,PECP
PGSP,PGSP,PGSP
PHJSP,PHJSP,PHJSP
PHRC,PHRC,PHRC
PHSP,PHSP,PHSP
PJDL,PJDL,pjdl
PJSP,PJSP,PJSP
PLM,PLM,PLM
PLP,PLP,PLP
PMK,PMK,PMK
PMP,PMP,PMP
PMPT,PMPT,PMPT
PMSP,PMSP,PMSP
PNP,PNP,PNP
PPA,PPA,PPA
PPID,PPID,PPID
PPIS,PPIS,PPIS
PPOI,PPOI,PPOI
PRCP,PRCP,PRCP
PRISM,PRISM,PRISM
PRISMP,PRISMP,PRISMP
PRJP,PRJP,PRJP
PRSHP,PRSHP,PRSHP
PRSP,PRSP,PRSP
PRSTP,PRSTP,PrStP
PSJP,PSJP,PSJP
PSPL,PSPL,PSPL
PSPU,PSPU,PSPU
PSS,PSS,PSS
PUDEP,PUDEP,PUDEP
PUJP,PUJP,PUJP
PUNEKP,PUNEKP,PUNEKP
PUNP,PUNP,PUNP
RAAD,RAAD,RaAD
RABSP,RABSP,RABSP
RACHEP,RACHEP,RACHEP
RADM,RADM,RADM
RAHIS,RAHIS,RAHIS
RAHM,RAHM,RAHM
RAIM,RAIM,RAIM
RAIP,RAIP,RaIP
RAJADP,RAJADP,RAJADP
RAJPA,RAJPA,RaJPa
RAJPT,RAJPT,rajpt
RAJSP,RAJSP,RaJSP
RAJSPTY,RAJSPTY,RAJSPty
RAJUP,RAJUP,RAJUP
RAKRD,RAKRD,RAKRD
RANP,RANP,RaNP
RAPI,RAPI,RAPI
RAPTY,RAPTY,RAPty
RASAP,RASAP,RASAP
RASHLSP,RASHLSP,RASHLSP
RASJGP,RASJGP,RASJGP
RASLP,RASLP,RasLP
RASMARP,RASMARP,RASMARP
RAVP,RAVP,ravp
RBCP,RBCP,RBCP
RBJJP,RBJJP,RBJJP
RBP,RBP,RBP
RBS,RBS,RBS
RD,RD,RD
RDHP,RDHP,RDHP
RDU,RDU,RDU
REALDP,REALDP,REALDP
RGD,RGD,RGD
RGOP,RGOP,RGOP
RHSP,RHSP,RHSP
RJANPTY,RJANPTY,RJanPty
RJANSWP,RJANSWP,RJANSWP
RJAPU,RJAPU,RJAPU
RJAVP,RJAVP,RJAVP
RJBP,RJBP,RJBP
RJBVP,RJBVP,RJBVP
RJD,RJD,RJD
RJNP,RJNP,RJNP
RJNPTY,RJNPTY,RJnPty
RJPD,RJPD,RJPD
RJSBHP,RJSBHP,RJsbhP
RJSNP,RJSNP,RJSNP
RJSPS,RJSPS,RJSPS
RKSP,RKSP,RKSP
RLD,RLD,RLD
RLTP,RLTP,RLTP
RMEP,RMEP,RMEP
RMGLMP,RMGLMP,RMGLMP
RMGP,RMGP,RMGP
RMMP,RMMP,RMMP
RMPOI,RMPOI,RMPOI
RND,RND,RND
RNNBP,RNNBP,RNNBP
RP(K),RP(K),RP(K)
RPB,RPB,RPB
RPC(S),RPC(S),RPC(S)
RPI,RPI,RPI
RPI(A),RPI(A),RPI(A)
RPI(KH),RPI(KH),RPI(KH)
RPI(KM),RPI(KM),RPI(KM)
RPIE,RPIE,RPIE
RPIK,RPIK,RPIK
RPIR,RPIR,RPIR
RPP,RPP,RPP
RPSN,RPSN,rpsn
RPWP,RPWP,RPWP
RRP,RRP,RRP
RRS,RRS,RRS
RSAD,RSAD,RsAD
RSDAL,RSDAL,RSDal
RSJVP,RSJVP,RSJVP
RSMD,RSMD,RSMD
RSOSP,RSOSP,RSOSP
RSP,RSP,RSP
RSP(S),RSP(S),RSP(S)
RSPS,RSPS,RSPS
RSPSR,RSPSR,RSPSR
RSTSAHP,RSTSAHP,RSTSAHP
RSVP,RSVP,RSVP
RSWD,RSWD,RSWD
RTAMP,RTAMP,RTAMP
RTBHP,RTBHP,RTBHP
RTJPS,RTJPS,RTJPS
RTKP,RTKP,RTKP
RTORP,RTORP,RTORP
RTRJP,RTRJP,RtrJP
RTSGP,RTSGP,RTSGP
RUC,RUC,RUC
RVLP,RVLP,RVLP
RVNP,RVNP,RVNP
RVP,RVP,RVP
RVYP,RVYP,RVyP
RVZP,RVZP,RVZP
SAAFP,SAAFP,SAAFP
SABHP,SABHP,SABHP
SABJANP,SABJANP,SABJANP
SABP,SABP,SaBP
SACP,SACP,SACP
SAD,SAD,SAD
SAD(M),SAD(M),SAD(M)
SADA,SADA,SaDa
SADSP,SADSP,SADSP
SADT,SADT,SADT
SAJP,SAJP,SAJP
SAKAP,SAKAP,SAKAP
SAKSP,SAKSP,SAKSP
SAMSP,SAMSP,SamSP
SANS,SANS,SanS
SANVP,SANVP,SANVP
SAPRP,SAPRP,SAPRP
SARAPA,SARAPA,SaRaPa
SASAP,SASAP,SaSaP
SATBP,SATBP,SatBP
SATKP,SATKP,SATKP
SAVIPA,SAVIPA,SAVIPA
SAVP,SAVP,SaVP
SBM,SBM,SBM
SBSP,SBSP,SBSP
SBSPSP,SBSPSP,SBSPSP
SDC,SDC,SDC
SDF,SDF,SDF
SDP(MP),SDP(MP),SDP(MP)
SDPI,SDPI,SDPI
SDSP,SDSP,SDSP
SDU,SDU,SDU
SFP,SFP,SFP
SGUP,SGUP,SGUP
SHF,SHF,SHF
SHS,SHS,SHS
SJDD,SJDD,SJDD
SJPA,SJPA,SJPA
SJPI,SJPI,SJPI
SJPT,SJPT,SJPT
SJSMP,SJSMP,SJSMP
SJVP,SJVP,SJVP
SKD,SKD,skd
SKM,SKM,SKM
SKPP,SKPP,SKPP
SLDP,SLDP,SLDP
SMARTIP,SMARTIP,SMARTIP
SMFB,SMFB,SMFB
SNP,SNP,SNP
SOJP,SOJP,SoJP
SP,SP,SP
SP(I),SP(I),SP(I)
SPAKP,SPAKP,SPAKP
SPL,SPL,SPL
SPRP,SPRP,SPRP
SSBD,SSBD,SSBD
SSD,SSD,SSD
SSRD,SSRD,ssrd
STBP,STBP,STBP
STBSP,STBSP,STBSP
STPI,STPI,STPI
SUCI(C),SUCI(C),SUCI(C)
SUSP,SUSP,SUSP
SUTF,SUTF,SUTF
SVJN,SVJN,svjn
SVJSP,SVJSP,SVJSP
SVPP,SVPP,SVPP
SWABP,SWABP,SwaBP
SWAJANPA,SWAJANPA,SWAJANPA
SWAP,SWAP,SWAP
SWBI,SWBI,swbi
SWJP,SWJP,SWJP
SWP,SWP,SWP
SWSP,SWSP,SWSP
TDP,TDP,TDP
TECPI,TECPI,TECPI
TELYS,TELYS,TELYS
TGPJP,TGPJP,TGPJP
TJS,TJS,TJS
TMC(M),TMC(M),TMC(M)
TNLK,TNLK,TNLK
TNRMPI,TNRMPI,TNRMPI
TOP,TOP,ToP
TRIPP,TRIPP,TRIPP
TRS,TRS,TRS
TSP,TSP,TSP
TTNP,TTNP,TTNP
UBM,UBM,UBM
UDFS,UDFS,UDFS
UDP,UDP,UDP
UKDD,UKDD,UKDD
UKKD,UKKD,UKKD
UMK,UMK,UMK
UPJP,UPJP,UPJP
UPNSE,UPNSE,UPNSE
UPP,UPP,UPP
UPPL,UPPL,UPPL
USIP,USIP,USIP
UTPP,UTPP,UtPP
UTSAP,UTSAP,UTSAP
VBA,VBA,VBA
VCK,VCK,VCK
VCSMP,VCSMP,VCSMP
VIP,VIP,VIP
VIPTY,VIPTY,VIPty
VJNP,VJNP,VJNP
VMMKT,VMMKT,VMMKT
VMSKP,VMSKP,VMSKP
VOP,VOP,VoP
VPI,VPI,VPI
VPP,VPP,VPP
VSIP,VSIP,VSIP
VSP,VSP,VSP
WAP,WAP,WAP
WPOI,WPOI,WPOI
YJJP,YJJP,YJJP
YKP,YKP,YKP
YSRCP,YSRCP,YSRCP
YSRPP,YSRPP,YSRPP
YUS,YUS,YuS
YVP,YVP,YVP
