row_index,state,constituency,state_key,constituency_key,canonical_state_key,canonical_constituency_key,repair_class,completion_category,exists_in_election_master,exists_in_geojson,exists_in_delimitation_reference,reason
17,Andhra Pradesh,KARIMNAGAR,ANDHRA PRADESH,KARIMNAGAR,ANDHRA PRADESH,KARIMNAGAR,reference_old_name,reference_only_not_in_current_election,False,False,True,Delimitation/reference old constituency name
18,Andhra Pradesh,KHAMMAM,ANDHRA PRADESH,KHAMMAM,ANDHRA PRADESH,KHAMMAM,reference_old_name,reference_only_not_in_current_election,False,False,True,Delimitation/reference old constituency name
19,Andhra Pradesh,Kadapa,ANDHRA PRADESH,KADAPA,ANDHRA PRADESH,KADAPA,true_missing,election_only_needs_demographics,True,True,True,Canonical seat with real data gap
20,Andhra Pradesh,Kakinada,ANDHRA PRADESH,KAKINADA,ANDHRA PRADESH,KAKINADA,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
21,Andhra Pradesh,Kurnoolu,ANDHRA PRADESH,KURNOOLU,ANDHRA PRADESH,KURNOOLU,true_missing,election_only_needs_demographics,True,True,True,Canonical seat with real data gap
22,Andhra Pradesh,MAHABUBABAD,ANDHRA PRADESH,MAHABUBABAD,ANDHRA PRADESH,MAHABUBABAD,reference_old_name,reference_only_not_in_current_election,False,False,True,Delimitation/reference old constituency name
23,Andhra Pradesh,MAHBUBNAGAR,ANDHRA PRADESH,MAHBUBNAGAR,ANDHRA PRADESH,MAHBUBNAGAR,reference_old_name,reference_only_not_in_current_election,False,False,True,Delimitation/reference old constituency name
24,Andhra Pradesh,MALKAJGIRI,ANDHRA PRADESH,MALKAJGIRI,ANDHRA PRADESH,MALKAJGIRI,reference_old_name,reference_only_not_in_current_election,False,False,True,Delimitation/reference old constituency name
25,Andhra Pradesh,MEDAK,ANDHRA PRADESH,MEDAK,ANDHRA PRADESH,MEDAK,reference_old_name,reference_only_not_in_current_election,False,False,True,Delimitation/reference old constituency name
26,Andhra Pradesh,Machilipatnam,ANDHRA PRADESH,MACHILIPATNAM,ANDHRA PRADESH,MACHILIPATNAM,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
27,Andhra Pradesh,NAGARKURNOOL,ANDHRA PRADESH,NAGARKURNOOL,ANDHRA PRADESH,NAGARKURNOOL,reference_old_name,reference_only_not_in_current_election,False,False,True,Delimitation/reference old constituency name
28,Andhra Pradesh,NALGONDA,ANDHRA PRADESH,NALGONDA,ANDHRA PRADESH,NALGONDA,reference_old_name,reference_only_not_in_current_election,False,False,True,Delimitation/reference old constituency name
29,Andhra Pradesh,NIZAMABAD,ANDHRA PRADESH,NIZAMABAD,ANDHRA PRADESH,NIZAMABAD,reference_old_name,reference_only_not_in_current_election,False,False,True,Delimitation/reference old constituency name
30,Andhra Pradesh,Nandyal,ANDHRA PRADESH,NANDYAL,ANDHRA PRADESH,NANDYAL,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
31,Andhra Pradesh,Narasaraopet,ANDHRA PRADESH,NARASARAOPET,ANDHRA PRADESH,NARASARAOPET,alias_duplicate,no_election_data_needs_election_results,False,True,True,Alias of canonical seat ANDHRA PRADESH::NARSARAOPET
32,Andhra Pradesh,Narsapuram,ANDHRA PRADESH,NARSAPURAM,ANDHRA PRADESH,NARSAPURAM,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
33,Andhra Pradesh,Narsaraopet,ANDHRA PRADESH,NARSARAOPET,ANDHRA PRADESH,NARASARAOPET,true_missing,election_only_needs_demographics,True,False,False,Canonical seat with real data gap
34,Andhra Pradesh,Nellore,ANDHRA PRADESH,NELLORE,ANDHRA PRADESH,NELLORE,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
35,Andhra Pradesh,Ongole,ANDHRA PRADESH,ONGOLE,ANDHRA PRADESH,ONGOLE,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
36,Andhra Pradesh,PEDDAPALLE,ANDHRA PRADESH,PEDDAPALLE,ANDHRA PRADESH,PEDDAPALLE,reference_old_name,reference_only_not_in_current_election,False,False,True,Delimitation/reference old constituency name
37,Andhra Pradesh,Rajahmundry,ANDHRA PRADESH,RAJAHMUNDRY,ANDHRA PRADESH,RAJAHMUNDRY,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
38,Andhra Pradesh,Rajampet,ANDHRA PRADESH,RAJAMPET,ANDHRA PRADESH,RAJAMPET,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
39,Andhra Pradesh,SECUNDERABAD,ANDHRA PRADESH,SECUNDERABAD,ANDHRA PRADESH,SECUNDERABAD,reference_old_name,reference_only_not_in_current_election,False,False,True,Delimitation/reference old constituency name
40,Andhra Pradesh,Srikakulam,ANDHRA PRADESH,SRIKAKULAM,ANDHRA PRADESH,SRIKAKULAM,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
41,Andhra Pradesh,Thirupathi,ANDHRA PRADESH,THIRUPATHI,ANDHRA PRADESH,TIRUPATI,true_missing,election_only_needs_demographics,True,False,False,Canonical seat with real data gap
42,Andhra Pradesh,Tirupati,ANDHRA PRADESH,TIRUPATI,ANDHRA PRADESH,TIRUPATI,alias_duplicate,no_election_data_needs_election_results,False,True,True,Alias of canonical seat ANDHRA PRADESH::THIRUPATHI
43,Andhra Pradesh,Vijayawada,ANDHRA PRADESH,VIJAYAWADA,ANDHRA PRADESH,VIJAYAWADA,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
44,Andhra Pradesh,Visakhapatnam,ANDHRA PRADESH,VISAKHAPATNAM,ANDHRA PRADESH,VISAKHAPATNAM,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
45,Andhra Pradesh,Vizianagaram,ANDHRA PRADESH,VIZIANAGARAM,ANDHRA PRADESH,VIZIANAGARAM,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
46,Andhra Pradesh,WARANGAL,ANDHRA PRADESH,WARANGAL,ANDHRA PRADESH,WARANGAL,reference_old_name,reference_only_not_in_current_election,False,False,True,Delimitation/reference old constituency name
47,Andhra Pradesh,ZAHIRABAD,ANDHRA PRADESH,ZAHIRABAD,ANDHRA PRADESH,ZAHIRABAD,reference_old_name,reference_only_not_in_current_election,False,False,True,Delimitation/reference old constituency name
48,Arunachal Pradesh,ARUNAHCAL EAST,ARUNACHAL PRADESH,ARUNAHCAL EAST,ARUNACHAL PRADESH,ARUNAHCAL EAST,reference_old_name,reference_only_not_in_current_election,False,False,True,Delimitation/reference old constituency name
49,Arunachal Pradesh,Arunachal East,ARUNACHAL PRADESH,ARUNACHAL EAST,ARUNACHAL PRADESH,ARUNACHAL EAST,true_missing,election_only_needs_demographics,True,True,False,Canonical seat with real data gap
50,Arunachal Pradesh,Arunachal West,ARUNACHAL PRADESH,ARUNACHAL WEST,ARUNACHAL PRADESH,ARUNACHAL WEST,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
51,Assam,Autonomous District,ASSAM,AUTONOMOUS DISTRICT,ASSAM,AUTONOMOUS DISTRICT,true_missing,no_election_data_needs_election_results,False,True,False,Seat missing election results in master
52,Assam,Autonomous District (ST,ASSAM,AUTONOMOUS DISTRICT ST,ASSAM,AUTONOMOUS DISTRICT ST,reference_old_name,reference_only_not_in_current_election,False,False,True,Delimitation/reference old constituency name
53,Assam,Barpeta,ASSAM,BARPETA,ASSAM,BARPETA,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
54,Assam,Darrang-Udalguri,ASSAM,DARRANG UDALGURI,ASSAM,DARRANG UDALGURI,true_missing,election_only_needs_demographics,True,False,False,Canonical seat with real data gap
55,Assam,Dhubri,ASSAM,DHUBRI,ASSAM,DHUBRI,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
56,Assam,Dibrugarh,ASSAM,DIBRUGARH,ASSAM,DIBRUGARH,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
57,Assam,Diphu,ASSAM,DIPHU,ASSAM,DIPHU,true_missing,election_only_needs_demographics,True,False,False,Canonical seat with real data gap
58,Assam,Gauhati,ASSAM,GAUHATI,ASSAM,GUWAHATI,alias_duplicate,no_election_data_needs_election_results,False,True,True,Alias of canonical seat ASSAM::GUWAHATI
59,Assam,Guwahati,ASSAM,GUWAHATI,ASSAM,GUWAHATI,true_missing,election_only_needs_demographics,True,False,False,Canonical seat with real data gap
60,Assam,Jorhat,ASSAM,JORHAT,ASSAM,JORHAT,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
61,Assam,Kaliabor,ASSAM,KALIABOR,ASSAM,KAZIRANGA,alias_duplicate,no_election_data_needs_election_results,False,True,True,Alias of canonical seat ASSAM::KAZIRANGA
62,Assam,Karimganj,ASSAM,KARIMGANJ,ASSAM,KARIMGANJ,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
63,Assam,Kaziranga,ASSAM,KAZIRANGA,ASSAM,KAZIRANGA,true_missing,election_only_needs_demographics,True,False,False,Canonical seat with real data gap
64,Assam,Kokrajhar,ASSAM,KOKRAJHAR,ASSAM,KOKRAJHAR,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
65,Assam,Lakhimpur,ASSAM,LAKHIMPUR,ASSAM,LAKHIMPUR,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
66,Assam,Mangaldoi,ASSAM,MANGALDOI,ASSAM,DARRANG UDALGURI,alias_duplicate,no_election_data_needs_election_results,False,True,True,Alias of canonical seat ASSAM::DARRANG UDALGURI
67,Assam,Nagaon,ASSAM,NAGAON,ASSAM,NAGAON,true_missing,election_only_needs_demographics,True,False,False,Canonical seat with real data gap
68,Assam,Nawgong,ASSAM,NAWGONG,ASSAM,NAWGONG,reference_old_name,reference_only_not_in_current_election,False,False,True,Delimitation/reference old constituency name
69,Assam,Nowgong,ASSAM,NOWGONG,ASSAM,NAGAON,alias_duplicate,no_election_data_needs_election_results,False,True,False,Alias of canonical seat ASSAM::NAGAON
70,Assam,Silchar,ASSAM,SILCHAR,ASSAM,SILCHAR,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
71,Assam,Sonitpur,ASSAM,SONITPUR,ASSAM,SONITPUR,true_missing,election_only_needs_demographics,True,False,False,Canonical seat with real data gap
72,Assam,Tezpur,ASSAM,TEZPUR,ASSAM,SONITPUR,alias_duplicate,no_election_data_needs_election_results,False,True,True,Alias of canonical seat ASSAM::SONITPUR
73,Bihar,Araria,BIHAR,ARARIA,BIHAR,ARARIA,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
74,Bihar,Arrah,BIHAR,ARRAH,BIHAR,ARRAH,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
75,Bihar,Aurangabad,BIHAR,AURANGABAD,BIHAR,AURANGABAD,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
76,Bihar,Banka,BIHAR,BANKA,BIHAR,BANKA,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
77,Bihar,Begusarai,BIHAR,BEGUSARAI,BIHAR,BEGUSARAI,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
78,Bihar,Bhagalpur,BIHAR,BHAGALPUR,BIHAR,BHAGALPUR,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
79,Bihar,Buxar,BIHAR,BUXAR,BIHAR,BUXAR,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
80,Bihar,Darbhanga,BIHAR,DARBHANGA,BIHAR,DARBHANGA,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
81,Bihar,Gaya,BIHAR,GAYA,BIHAR,GAYA,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
82,Bihar,Gopalganj,BIHAR,GOPALGANJ,BIHAR,GOPALGANJ,true_missing,election_only_needs_demographics,True,True,True,Canonical seat with real data gap
83,Bihar,Hajipur,BIHAR,HAJIPUR,BIHAR,HAJIPUR,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
84,Bihar,Jahanabad,BIHAR,JAHANABAD,BIHAR,JAHANABAD,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
85,Bihar,Jamui,BIHAR,JAMUI,BIHAR,JAMUI,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
86,Bihar,Jhanjharpur,BIHAR,JHANJHARPUR,BIHAR,JHANJHARPUR,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
87,Bihar,Karakat,BIHAR,KARAKAT,BIHAR,KARAKAT,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
88,Bihar,Katihar,BIHAR,KATIHAR,BIHAR,KATIHAR,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
89,Bihar,Khagaria,BIHAR,KHAGARIA,BIHAR,KHAGARIA,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
90,Bihar,Kishanganj,BIHAR,KISHANGANJ,BIHAR,KISHANGANJ,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
91,Bihar,Madhepura,BIHAR,MADHEPURA,BIHAR,MADHEPURA,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
92,Bihar,Madhubani,BIHAR,MADHUBANI,BIHAR,MADHUBANI,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
93,Bihar,Maharajganj,BIHAR,MAHARAJGANJ,BIHAR,MAHARAJGANJ,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
94,Bihar,Munger,BIHAR,MUNGER,BIHAR,MUNGER,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
95,Bihar,Muzaffarpur,BIHAR,MUZAFFARPUR,BIHAR,MUZAFFARPUR,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
96,Bihar,Nalanda,BIHAR,NALANDA,BIHAR,NALANDA,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
97,Bihar,Nawada,BIHAR,NAWADA,BIHAR,NAWADA,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
98,Bihar,Paschim Champaran,BIHAR,PASCHIM CHAMPARAN,BIHAR,PASCHIM CHAMPARAN,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
99,Bihar,Pataliputra,BIHAR,PATALIPUTRA,BIHAR,PATLIPUTRA,alias_duplicate,no_election_data_needs_election_results,False,True,True,Alias of canonical seat BIHAR::PATLIPUTRA
100,Bihar,Patliputra,BIHAR,PATLIPUTRA,BIHAR,PATLIPUTRA,true_missing,election_only_needs_demographics,True,False,False,Canonical seat with real data gap
101,Bihar,Patna Sahib,BIHAR,PATNA SAHIB,BIHAR,PATNA SAHIB,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
102,Bihar,Purnia,BIHAR,PURNIA,BIHAR,PURNIA,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
103,Bihar,Purvi Champaran,BIHAR,PURVI CHAMPARAN,BIHAR,PURVI CHAMPARAN,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
104,Bihar,Samastipur,BIHAR,SAMASTIPUR,BIHAR,SAMASTIPUR,true_missing,election_only_needs_demographics,True,True,False,Canonical seat with real data gap
105,Bihar,Saran,BIHAR,SARAN,BIHAR,SARAN,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
106,Bihar,Sasaram,BIHAR,SASARAM,BIHAR,SASARAM,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
107,Bihar,Sheohar,BIHAR,SHEOHAR,BIHAR,SHEOHAR,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
108,Bihar,Sitamarhi,BIHAR,SITAMARHI,BIHAR,SITAMARHI,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
109,Bihar,Siwan,BIHAR,SIWAN,BIHAR,SIWAN,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
110,Bihar,Supaul,BIHAR,SUPAUL,BIHAR,SUPAUL,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
111,Bihar,Ujiarpur,BIHAR,UJIARPUR,BIHAR,UJIARPUR,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
112,Bihar,Vaishali,BIHAR,VAISHALI,BIHAR,VAISHALI,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
113,Bihar,Valmiki Nagar,BIHAR,VALMIKI NAGAR,BIHAR,VALMIKI NAGAR,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
114,Chandigarh,Chandigarh,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH,true_missing,election_only_needs_demographics,True,True,False,Canonical seat with real data gap
115,Chhattisgarh,BASTAR,CHHATTISGARH,BASTAR,CHHATTISGARH,BASTAR,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
116,Chhattisgarh,BILASPUR,CHHATTISGARH,BILASPUR,CHHATTISGARH,BILASPUR,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
117,Chhattisgarh,DURG,CHHATTISGARH,DURG,CHHATTISGARH,DURG,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
118,Chhattisgarh,JANJGIR-CHAMPA,CHHATTISGARH,JANJGIR CHAMPA,CHHATTISGARH,JANJGIR CHAMPA,true_missing,election_only_needs_demographics,True,True,False,Canonical seat with real data gap
119,Chhattisgarh,KANKER,CHHATTISGARH,KANKER,CHHATTISGARH,KANKER,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
120,Chhattisgarh,KORBA,CHHATTISGARH,KORBA,CHHATTISGARH,KORBA,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
121,Chhattisgarh,MAHASAMUND,CHHATTISGARH,MAHASAMUND,CHHATTISGARH,MAHASAMUND,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
122,Chhattisgarh,RAIGARH,CHHATTISGARH,RAIGARH,CHHATTISGARH,RAIGARH,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
123,Chhattisgarh,RAIPUR,CHHATTISGARH,RAIPUR,CHHATTISGARH,RAIPUR,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
124,Chhattisgarh,RAJNANDGAON,CHHATTISGARH,RAJNANDGAON,CHHATTISGARH,RAJNANDGAON,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
125,Chhattisgarh,SURGUJA,CHHATTISGARH,SURGUJA,CHHATTISGARH,SURGUJA,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
126,Dadra & Nagar Haveli,Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,true_missing,no_election_data_needs_election_results,False,True,False,Seat missing election results in master
127,Dadra & Nagar Haveli and Daman & Diu,Dadar & Nagar Haveli,DADRA & NAGAR HAVELI & DAMAN & DIU,DADAR NAGAR HAVELI,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DADAR NAGAR HAVELI,true_missing,election_only_needs_demographics,True,False,False,Canonical seat with real data gap
128,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu,DADRA & NAGAR HAVELI & DAMAN & DIU,DAMAN DIU,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DAMAN DIU,true_missing,election_only_needs_demographics,True,False,False,Canonical seat with real data gap
129,Daman & Diu,Daman and Diu,DAMAN AND DIU,DAMAN AND DIU,DAMAN AND DIU,DAMAN AND DIU,true_missing,no_election_data_needs_election_results,False,True,False,Seat missing election results in master
130,Delhi,Chandni Chowk,DELHI,CHANDNI CHOWK,NCT OF DELHI,CHANDNI CHOWK,alias_duplicate,no_election_data_needs_election_results,False,True,True,Alias of canonical seat NCT OF DELHI::CHANDNI CHOWK
131,Delhi,East Delhi,DELHI,EAST DELHI,NCT OF DELHI,EAST DELHI,alias_duplicate,no_election_data_needs_election_results,False,True,True,Alias of canonical seat NCT OF DELHI::EAST DELHI
132,Delhi,New Delhi,DELHI,NEW DELHI,NCT OF DELHI,NEW DELHI,alias_duplicate,no_election_data_needs_election_results,False,True,True,Alias of canonical seat NCT OF DELHI::NEW DELHI
133,Delhi,North East Delhi,DELHI,NORTH EAST DELHI,NCT OF DELHI,NORTH EAST DELHI,alias_duplicate,no_election_data_needs_election_results,False,True,True,Alias of canonical seat NCT OF DELHI::NORTH EAST DELHI
134,Delhi,North West Delhi,DELHI,NORTH WEST DELHI,NCT OF DELHI,NORTH WEST DELHI,alias_duplicate,no_election_data_needs_election_results,False,True,False,Alias of canonical seat NCT OF DELHI::NORTH WEST DELHI
135,Delhi,"North West Delhi 1.Nerela, 5.Badli, 6.Rithala, 7.Bawana, 8.Mundka, 9.Kirari",DELHI,NORTH WEST DELHI 1 NERELA 5 BADLI 6 RITHALA 7 BAWANA 8 MUNDKA 9 KIRARI,NCT OF DELHI,NORTH WEST DELHI 1 NERELA 5 BADLI 6 RITHALA 7 BAWANA 8 MUNDKA 9 KIRARI,reference_old_name,reference_only_not_in_current_election,False,False,True,Delimitation/reference old constituency name
136,Delhi,South Delhi,DELHI,SOUTH DELHI,NCT OF DELHI,SOUTH DELHI,alias_duplicate,no_election_data_needs_election_results,False,True,True,Alias of canonical seat NCT OF DELHI::SOUTH DELHI
137,Delhi,West Delhi,DELHI,WEST DELHI,NCT OF DELHI,WEST DELHI,alias_duplicate,no_election_data_needs_election_results,False,True,True,Alias of canonical seat NCT OF DELHI::WEST DELHI
138,Goa,North Goa,GOA,NORTH GOA,GOA,NORTH GOA,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
139,Goa,South Goa,GOA,SOUTH GOA,GOA,SOUTH GOA,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
140,Gujarat,Ahmedabad East,GUJARAT,AHMEDABAD EAST,GUJARAT,AHMEDABAD EAST,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
141,Gujarat,Ahmedabad West,GUJARAT,AHMEDABAD WEST,GUJARAT,AHMEDABAD WEST,true_missing,election_only_needs_demographics,True,True,False,Canonical seat with real data gap
142,Gujarat,Amreli,GUJARAT,AMRELI,GUJARAT,AMRELI,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
143,Gujarat,Anand,GUJARAT,ANAND,GUJARAT,ANAND,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
144,Gujarat,Banaskantha,GUJARAT,BANASKANTHA,GUJARAT,BANASKANTHA,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
145,Gujarat,Bardoli,GUJARAT,BARDOLI,GUJARAT,BARDOLI,true_missing,election_only_needs_demographics,True,True,True,Canonical seat with real data gap
146,Gujarat,Bharuch,GUJARAT,BHARUCH,GUJARAT,BHARUCH,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
147,Gujarat,Bhavnagar,GUJARAT,BHAVNAGAR,GUJARAT,BHAVNAGAR,true_missing,partial_demographics_missing_core_fields,True,True,True,Canonical seat with real data gap
