state,constituency,state_key,constituency_key,canonical_seat_key,exclude_reason,repair_class,completion_category,exists_in_election_master,exists_in_frontend_constituencies,exists_in_geojson,exists_in_delimitation_reference,possible_alias,notes
Punjab,Firozepur,PUNJAB,FIROZEPUR,PUNJAB::FIROZEPUR,geojson_only_not_in_platform_universe,,,False,False,True,False,,
Bihar,Pataliputra,BIHAR,PATALIPUTRA,BIHAR::PATALIPUTRA,geojson_only_not_in_platform_universe,,,False,False,True,False,,
Uttar Pradesh,Bahraich,UTTAR PRADESH,BAHRAICH,UTTAR PRADESH::BAHRAICH,geojson_only_not_in_platform_universe,,,False,False,True,False,,
Assam,Gauhati,ASSAM,GAUHATI,ASSAM::GAUHATI,geojson_only_not_in_platform_universe,,,False,False,True,False,,
Assam,Mangaldoi,ASSAM,MANGALDOI,ASSAM::MANGALDOI,geojson_only_not_in_platform_universe,,,False,False,True,False,,
Assam,Tezpur,ASSAM,TEZPUR,ASSAM::TEZPUR,geojson_only_not_in_platform_universe,,,False,False,True,False,,
Assam,Nowgong,ASSAM,NOWGONG,ASSAM::NOWGONG,geojson_only_not_in_platform_universe,,,False,False,True,False,,
Assam,Kaliabor,ASSAM,KALIABOR,ASSAM::KALIABOR,geojson_only_not_in_platform_universe,,,False,False,True,False,,
West Bengal,Barrackpore,WEST BENGAL,BARRACKPORE,WEST BENGAL::BARRACKPORE,geojson_only_not_in_platform_universe,,,False,False,True,False,,
West Bengal,Arambagh,WEST BENGAL,ARAMBAGH,WEST BENGAL::ARAMBAGH,geojson_only_not_in_platform_universe,,,False,False,True,False,,
Chhattisgarh,Janjgir,CHHATTISGARH,JANJGIR,CHHATTISGARH::JANJGIR,geojson_only_not_in_platform_universe,,,False,False,True,False,,
Maharashtra,Hatkanangle,MAHARASHTRA,HATKANANGLE,MAHARASHTRA::HATKANANGLE,geojson_only_not_in_platform_universe,,,False,False,True,False,,
Telangana,Peddapalli,TELANGANA,PEDDAPALLI,TELANGANA::PEDDAPALLI,geojson_only_not_in_platform_universe,,,False,False,True,False,,
Telangana,Mahabubnagar,TELANGANA,MAHABUBNAGAR,TELANGANA::MAHABUBNAGAR,geojson_only_not_in_platform_universe,,,False,False,True,False,,
Telangana,Bhuvanagiri,TELANGANA,BHUVANAGIRI,TELANGANA::BHUVANAGIRI,geojson_only_not_in_platform_universe,,,False,False,True,False,,
Andhra Pradesh,Anakapalli,ANDHRA PRADESH,ANAKAPALLI,ANDHRA PRADESH::ANAKAPALLI,geojson_only_not_in_platform_universe,,,False,False,True,False,,
Andhra Pradesh,Kurnool,ANDHRA PRADESH,KURNOOL,ANDHRA PRADESH::KURNOOL,geojson_only_not_in_platform_universe,,,False,False,True,False,,
Andhra Pradesh,Anantapuramu,ANDHRA PRADESH,ANANTAPURAMU,ANDHRA PRADESH::ANANTAPURAMU,geojson_only_not_in_platform_universe,,,False,False,True,False,,
Kerala,Mavelikara,KERALA,MAVELIKARA,KERALA::MAVELIKARA,geojson_only_not_in_platform_universe,,,False,False,True,False,,
Tamil Nadu,Mayiladuturai,TAMIL NADU,MAYILADUTURAI,TAMIL NADU::MAYILADUTURAI,geojson_only_not_in_platform_universe,,,False,False,True,False,,
Tamil Nadu,Thoothukudi,TAMIL NADU,THOOTHUKUDI,TAMIL NADU::THOOTHUKUDI,geojson_only_not_in_platform_universe,,,False,False,True,False,,
Tamil Nadu,Kanyakumari,TAMIL NADU,KANYAKUMARI,TAMIL NADU::KANYAKUMARI,geojson_only_not_in_platform_universe,,,False,False,True,False,,
Andaman & Nicobar,Andaman and Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS::ANDAMAN AND NICOBAR ISLANDS,geojson_only_not_in_platform_universe,,,False,False,True,False,,
Jammu & Kashmir,Anantnag,JAMMU AND KASHMIR,ANANTNAG,JAMMU AND KASHMIR::ANANTNAG,geojson_only_not_in_platform_universe,,,False,False,True,False,,
