state,constituency,state_key,constituency_key,manual_summary,manual_electoral_movement,manual_key_factors,manual_demographic_context,manual_local_context,manual_what_to_watch,manual_confidence,analyst_name,last_reviewed,source_notes
Tamil Nadu,MAYILADUTHURAI,TAMIL NADU,MAYILADUTHURAI,,,,,,,,,,
Telangana,Malkajgiri,TELANGANA,MALKAJGIRI,,,,,,,,,,
Karnataka,Mandya,KARNATAKA,MANDYA,,,,,,,,,,
Maharashtra,Mumbai South Central,MAHARASHTRA,MUMBAI SOUTH CENTRAL,,,,,,,,,,
Andhra Pradesh,Narsapuram,ANDHRA PRADESH,NARSAPURAM,,,,,,,,,,
Bihar,Nawada,BIHAR,NAWADA,,,,,,,,,,
Manipur,Outer Manipur,MANIPUR,OUTER MANIPUR,,,,,,,,,,
Maharashtra,Palghar,MAHARASHTRA,PALGHAR,,,,,,,,,,
Bihar,Purnia,BIHAR,PURNIA,,,,,,,,,,
Andhra Pradesh,Rajahmundry,ANDHRA PRADESH,RAJAHMUNDRY,,,,,,,,,,
Maharashtra,Ratnagiri- Sindhudurg,MAHARASHTRA,RATNAGIRI SINDHUDURG,,,,,,,,,,
Rajasthan,SIKAR,RAJASTHAN,SIKAR,,,,,,,,,,
Haryana,SIRSA,HARYANA,SIRSA,,,,,,,,,,
Maharashtra,Satara,MAHARASHTRA,SATARA,,,,,,,,,,
Bihar,Sheohar,BIHAR,SHEOHAR,,,,,,,,,,
Meghalaya,Shillong,MEGHALAYA,SHILLONG,,,,,,,,,,
Maharashtra,Shirdi,MAHARASHTRA,SHIRDI,,,,,,,,,,
Jharkhand,Singhbhum,JHARKHAND,SINGHBHUM,,,,,,,,,,
Uttar Pradesh,Sitapur,UTTAR PRADESH,SITAPUR,,,,,,,,,,
Tamil Nadu,THENI,TAMIL NADU,THENI,,,,,,,,,,
Tamil Nadu,TIRUCHIRAPPALLI,TAMIL NADU,TIRUCHIRAPPALLI,,,,,,,,,,
Maharashtra,Wardha,MAHARASHTRA,WARDHA,,,,,,,,,,
Maharashtra,Yavatmal- Washim,MAHARASHTRA,YAVATMAL WASHIM,,,,,,,,,,
Telangana,Zahirabad,TELANGANA,ZAHIRABAD,,,,,,,,,,
Tamil Nadu,CHENNAI SOUTH,TAMIL NADU,CHENNAI SOUTH,,,,,,,,,,
West Bengal,Arambag,WEST BENGAL,ARAMBAG,,,,,,,,,,
Kerala,Attingal,KERALA,ATTINGAL,,,,,,,,,,
West Bengal,Balurghat,WEST BENGAL,BALURGHAT,,,,,,,,,,
West Bengal,Bishnupur,WEST BENGAL,BISHNUPUR,,,,,,,,,,
Uttar Pradesh,Farrukhabad,UTTAR PRADESH,FARRUKHABAD,,,,,,,,,,
Maharashtra,Hatkanangale,MAHARASHTRA,HATKANANGALE,,,,,,,,,,
Chhattisgarh,KANKER,CHHATTISGARH,KANKER,,,,,,,,,,
Uttar Pradesh,Meerut,UTTAR PRADESH,MEERUT,,,,,,,,,,
Uttar Pradesh,Phulpur,UTTAR PRADESH,PHULPUR,,,,,,,,,,
West Bengal,Purulia,WEST BENGAL,PURULIA,,,,,,,,,,
Tamil Nadu,VIRUDHUNAGAR,TAMIL NADU,VIRUDHUNAGAR,,,,,,,,,,
Uttar Pradesh,Amethi,UTTAR PRADESH,AMETHI,,,,,,,,,,
West Bengal,Asansol,WEST BENGAL,ASANSOL,,,,,,,,,,
Tamil Nadu,COIMBATORE,TAMIL NADU,COIMBATORE,,,,,,,,,,
Jammu and Kashmir,ANANTNAG-RAJOURI,JAMMU & KASHMIR,ANANTNAG RAJOURI,,,,,,,,,,
Punjab,Amritsar,PUNJAB,AMRITSAR,,,,,,,,,,
Andhra Pradesh,Araku,ANDHRA PRADESH,ARAKU,,,,,,,,,,
Bihar,Bhagalpur,BIHAR,BHAGALPUR,,,,,,,,,,
Gujarat,Bhavnagar,GUJARAT,BHAVNAGAR,,,,,,,,,,
Telangana,Bhongir,TELANGANA,BHONGIR,,,,,,,,,,
Karnataka,Bijapur,KARNATAKA,BIJAPUR,,,,,,,,,,
Tamil Nadu,CHENNAI CENTRAL,TAMIL NADU,CHENNAI CENTRAL,,,,,,,,,,
Kerala,Chalakudy,KERALA,CHALAKUDY,,,,,,,,,,
Uttar Pradesh,Deoria,UTTAR PRADESH,DEORIA,,,,,,,,,,
Assam,Dibrugarh,ASSAM,DIBRUGARH,,,,,,,,,,
Haryana,FARIDABAD,HARYANA,FARIDABAD,,,,,,,,,,
Uttar Pradesh,Fatehpur Sikri,UTTAR PRADESH,FATEHPUR SIKRI,,,,,,,,,,
Jharkhand,Godda,JHARKHAND,GODDA,,,,,,,,,,
Jharkhand,Hazaribagh,JHARKHAND,HAZARIBAGH,,,,,,,,,,
Madhya Pradesh,INDORE,MADHYA PRADESH,INDORE,,,,,,,,,,
Uttar Pradesh,Jhansi,UTTAR PRADESH,JHANSI,,,,,,,,,,
Haryana,KARNAL,HARYANA,KARNAL,,,,,,,,,,
Punjab,Ludhiana,PUNJAB,LUDHIANA,,,,,,,,,,
Himachal Pradesh,MANDI,HIMACHAL PRADESH,MANDI,,,,,,,,,,
Bihar,Maharajganj,BIHAR,MAHARAJGANJ,,,,,,,,,,
Uttar Pradesh,Maharajganj,UTTAR PRADESH,MAHARAJGANJ,,,,,,,,,,
Bihar,Munger,BIHAR,MUNGER,,,,,,,,,,
Tamil Nadu,NILGIRIS,TAMIL NADU,NILGIRIS,,,,,,,,,,
NCT OF Delhi,New Delhi,NCT OF DELHI,NEW DELHI,,,,,,,,,,
Puducherry,PUDUCHERRY,PUDUCHERRY,PUDUCHERRY,,,,,,,,,,
Bihar,Paschim Champaran,BIHAR,PASCHIM CHAMPARAN,,,,,,,,,,
Punjab,Patiala,PUNJAB,PATIALA,,,,,,,,,,
Tamil Nadu,RAMANATHAPURAM,TAMIL NADU,RAMANATHAPURAM,,,,,,,,,,
Andhra Pradesh,Rajampet,ANDHRA PRADESH,RAJAMPET,,,,,,,,,,
Maharashtra,Raver,MAHARASHTRA,RAVER,,,,,,,,,,
Karnataka,Shimoga,KARNATAKA,SHIMOGA,,,,,,,,,,
Bihar,Supaul,BIHAR,SUPAUL,,,,,,,,,,
Tamil Nadu,THOOTHUKKUDI,TAMIL NADU,THOOTHUKKUDI,,,,,,,,,,
Karnataka,Tumkur,KARNATAKA,TUMKUR,,,,,,,,,,
Karnataka,Udupi Chikmagalur,KARNATAKA,UDUPI CHIKMAGALUR,,,,,,,,,,
Karnataka,Uttara Kannada,KARNATAKA,UTTARA KANNADA,,,,,,,,,,
Tamil Nadu,VELLORE,TAMIL NADU,VELLORE,,,,,,,,,,
Haryana,AMBALA,HARYANA,AMBALA,,,,,,,,,,
Maharashtra,Ahmednagar,MAHARASHTRA,AHMEDNAGAR,,,,,,,,,,
Kerala,Alappuzha,KERALA,ALAPPUZHA,,,,,,,,,,
Kerala,Alathur,KERALA,ALATHUR,,,,,,,,,,
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,,,,,,,,,,
Uttar Pradesh,Ambedkar Nagar,UTTAR PRADESH,AMBEDKAR NAGAR,,,,,,,,,,
Andhra Pradesh,Ananthapur,ANDHRA PRADESH,ANANTHAPUR,,,,,,,,,,
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,,,,,,,,,,
Uttar Pradesh,Aonla,UTTAR PRADESH,AONLA,,,,,,,,,,
Bihar,Arrah,BIHAR,ARRAH,,,,,,,,,,
Odisha,Aska,ODISHA,ASKA,,,,,,,,,,
Bihar,Aurangabad,BIHAR,AURANGABAD,,,,,,,,,,
Maharashtra,Aurangabad,MAHARASHTRA,AURANGABAD,,,,,,,,,,
Rajasthan,BANSWARA,RAJASTHAN,BANSWARA,,,,,,,,,,
Jammu and Kashmir,BARAMULLA,JAMMU & KASHMIR,BARAMULLA,,,,,,,,,,
Chhattisgarh,BASTAR,CHHATTISGARH,BASTAR,,,,,,,,,,
Rajasthan,BHARATPUR,RAJASTHAN,BHARATPUR,,,,,,,,,,
Uttar Pradesh,Badaun,UTTAR PRADESH,BADAUN,,,,,,,,,,
West Bengal,Baharampur,WEST BENGAL,BAHARAMPUR,,,,,,,,,,
Uttar Pradesh,Ballia,UTTAR PRADESH,BALLIA,,,,,,,,,,
Gujarat,Banaskantha,GUJARAT,BANASKANTHA,,,,,,,,,,
Uttar Pradesh,Banda,UTTAR PRADESH,BANDA,,,,,,,,,,
Karnataka,Bangalore Rural,KARNATAKA,BANGALORE RURAL,,,,,,,,,,
West Bengal,Bankura,WEST BENGAL,BANKURA,,,,,,,,,,
Andhra Pradesh,Bapatla,ANDHRA PRADESH,BAPATLA,,,,,,,,,,
West Bengal,Bardhaman-Durgapur,WEST BENGAL,BARDHAMAN DURGAPUR,,,,,,,,,,
Assam,Barpeta,ASSAM,BARPETA,,,,,,,,,,
West Bengal,Barrackpur,WEST BENGAL,BARRACKPUR,,,,,,,,,,
Uttar Pradesh,Basti,UTTAR PRADESH,BASTI,,,,,,,,,,
Karnataka,Bellary,KARNATAKA,BELLARY,,,,,,,,,,
Odisha,Berhampur,ODISHA,BERHAMPUR,,,,,,,,,,
Odisha,Bhadrak,ODISHA,BHADRAK,,,,,,,,,,
Karnataka,Bidar,KARNATAKA,BIDAR,,,,,,,,,,
Bihar,Buxar,BIHAR,BUXAR,,,,,,,,,,
Madhya Pradesh,CHHINDWARA,MADHYA PRADESH,CHHINDWARA,,,,,,,,,,
Rajasthan,CHURU,RAJASTHAN,CHURU,,,,,,,,,,
Karnataka,Chamarajanagar,KARNATAKA,CHAMARAJANAGAR,,,,,,,,,,
Uttar Pradesh,Chandauli,UTTAR PRADESH,CHANDAULI,,,,,,,,,,
Karnataka,Chikkodi,KARNATAKA,CHIKKODI,,,,,,,,,,
Andhra Pradesh,Chittoor,ANDHRA PRADESH,CHITTOOR,,,,,,,,,,
West Bengal,Coochbehar,WEST BENGAL,COOCHBEHAR,,,,,,,,,,
Odisha,Cuttack,ODISHA,CUTTACK,,,,,,,,,,
Rajasthan,DAUSA,RAJASTHAN,DAUSA,,,,,,,,,,
Tamil Nadu,DINDIGUL,TAMIL NADU,DINDIGUL,,,,,,,,,,
Dadra & Nagar Haveli and Daman & Diu,Dadar & Nagar Haveli,DADRA & NAGAR HAVELI & DAMAN & DIU,DADAR NAGAR HAVELI,,,,,,,,,,
Dadra & Nagar Haveli and Daman & Diu,Daman & Diu,DADRA & NAGAR HAVELI & DAMAN & DIU,DAMAN DIU,,,,,,,,,,
Karnataka,Davanagere,KARNATAKA,DAVANAGERE,,,,,,,,,,
Odisha,Dhenkanal,ODISHA,DHENKANAL,,,,,,,,,,
Assam,Dhubri,ASSAM,DHUBRI,,,,,,,,,,
Maharashtra,Dindori,MAHARASHTRA,DINDORI,,,,,,,,,,
Jharkhand,Dumka,JHARKHAND,DUMKA,,,,,,,,,,
Andhra Pradesh,Eluru,ANDHRA PRADESH,ELURU,,,,,,,,,,
Uttar Pradesh,Etah,UTTAR PRADESH,ETAH,,,,,,,,,,
Uttar Pradesh,Etawah,UTTAR PRADESH,ETAWAH,,,,,,,,,,
Uttar Pradesh,Faizabad,UTTAR PRADESH,FAIZABAD,,,,,,,,,,
Uttar Pradesh,Fatehpur,UTTAR PRADESH,FATEHPUR,,,,,,,,,,
Uttar Pradesh,Firozabad,UTTAR PRADESH,FIROZABAD,,,,,,,,,,
Maharashtra,Gadchiroli - Chimur,MAHARASHTRA,GADCHIROLI CHIMUR,,,,,,,,,,
Bihar,Gaya,BIHAR,GAYA,,,,,,,,,,
Uttar Pradesh,Ghazipur,UTTAR PRADESH,GHAZIPUR,,,,,,,,,,
Karnataka,Gulbarga,KARNATAKA,GULBARGA,,,,,,,,,,
Haryana,HISAR,HARYANA,HISAR,,,,,,,,,,
Bihar,Hajipur,BIHAR,HAJIPUR,,,,,,,,,,
Andhra Pradesh,Hindupur,ANDHRA PRADESH,HINDUPUR,,,,,,,,,,
West Bengal,Hooghly,WEST BENGAL,HOOGHLY,,,,,,,,,,
Manipur,Inner Manipur,MANIPUR,INNER MANIPUR,,,,,,,,,,
Rajasthan,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,,,,,,,,,,
Odisha,Jagatsinghpur,ODISHA,JAGATSINGHPUR,,,,,,,,,,
Bihar,Jahanabad,BIHAR,JAHANABAD,,,,,,,,,,
Uttar Pradesh,Jalaun,UTTAR PRADESH,JALAUN,,,,,,,,,,
Bihar,Jamui,BIHAR,JAMUI,,,,,,,,,,
Uttar Pradesh,Jaunpur,UTTAR PRADESH,JAUNPUR,,,,,,,,,,
West Bengal,Jhargram,WEST BENGAL,JHARGRAM,,,,,,,,,,
Assam,Jorhat,ASSAM,JORHAT,,,,,,,,,,
Rajasthan,KARAULI-DHOLPUR,RAJASTHAN,KARAULI DHOLPUR,,,,,,,,,,
Uttar Pradesh,Kairana,UTTAR PRADESH,KAIRANA,,,,,,,,,,
Andhra Pradesh,Kakinada,ANDHRA PRADESH,KAKINADA,,,,,,,,,,
Odisha,Kandhamal,ODISHA,KANDHAMAL,,,,,,,,,,
Uttar Pradesh,Kannauj,UTTAR PRADESH,KANNAUJ,,,,,,,,,,
West Bengal,Kanthi,WEST BENGAL,KANTHI,,,,,,,,,,
Bihar,Karakat,BIHAR,KARAKAT,,,,,,,,,,
Bihar,Katihar,BIHAR,KATIHAR,,,,,,,,,,
Uttar Pradesh,Kaushambi,UTTAR PRADESH,KAUSHAMBI,,,,,,,,,,
Odisha,Kendrapara,ODISHA,KENDRAPARA,,,,,,,,,,
Odisha,Keonjhar,ODISHA,KEONJHAR,,,,,,,,,,
Punjab,Khadoor Sahib,PUNJAB,KHADOOR SAHIB,,,,,,,,,,
Bihar,Khagaria,BIHAR,KHAGARIA,,,,,,,,,,
Telangana,Khammam,TELANGANA,KHAMMAM,,,,,,,,,,
Uttar Pradesh,Kheri,UTTAR PRADESH,KHERI,,,,,,,,,,
Jharkhand,Khunti,JHARKHAND,KHUNTI,,,,,,,,,,
Assam,Kokrajhar,ASSAM,KOKRAJHAR,,,,,,,,,,
Karnataka,Koppal,KARNATAKA,KOPPAL,,,,,,,,,,
Kerala,Kottayam,KERALA,KOTTAYAM,,,,,,,,,,
Andhra Pradesh,Kurnoolu,ANDHRA PRADESH,KURNOOLU,,,,,,,,,,
Ladakh,Ladakh,LADAKH,LADAKH,,,,,,,,,,
Lakshadweep,Lakshadweep,LAKSHADWEEP,LAKSHADWEEP,,,,,,,,,,
Uttar Pradesh,Lalganj,UTTAR PRADESH,LALGANJ,,,,,,,,,,
Maharashtra,Latur,MAHARASHTRA,LATUR,,,,,,,,,,
Jharkhand,Lohardaga,JHARKHAND,LOHARDAGA,,,,,,,,,,
Mizoram,MIZORAM,MIZORAM,MIZORAM,,,,,,,,,,
Uttar Pradesh,Machhlishahr,UTTAR PRADESH,MACHHLISHAHR,,,,,,,,,,
Andhra Pradesh,Machilipatnam,ANDHRA PRADESH,MACHILIPATNAM,,,,,,,,,,
Maharashtra,Madha,MAHARASHTRA,MADHA,,,,,,,,,,
Telangana,Mahabubabad,TELANGANA,MAHABUBABAD,,,,,,,,,,
Telangana,Medak,TELANGANA,MEDAK,,,,,,,,,,
West Bengal,Medinipur,WEST BENGAL,MEDINIPUR,,,,,,,,,,
Uttar Pradesh,Mohanlalganj,UTTAR PRADESH,MOHANLALGANJ,,,,,,,,,,
Maharashtra,Mumbai North Central,MAHARASHTRA,MUMBAI NORTH CENTRAL,,,,,,,,,,
Maharashtra,Mumbai North East,MAHARASHTRA,MUMBAI NORTH EAST,,,,,,,,,,
Uttar Pradesh,Muzaffarnagar,UTTAR PRADESH,MUZAFFARNAGAR,,,,,,,,,,
Odisha,Nabarangpur,ODISHA,NABARANGPUR,,,,,,,,,,
Nagaland,Nagaland,NAGALAND,NAGALAND,,,,,,,,,,
Telangana,Nagarkurnool,TELANGANA,NAGARKURNOOL,,,,,,,,,,
Uttar Pradesh,Nagina,UTTAR PRADESH,NAGINA,,,,,,,,,,
Maharashtra,Nanded,MAHARASHTRA,NANDED,,,,,,,,,,
Maharashtra,Nandurbar,MAHARASHTRA,NANDURBAR,,,,,,,,,,
Andhra Pradesh,Nandyal,ANDHRA PRADESH,NANDYAL,,,,,,,,,,
Andhra Pradesh,Narsaraopet,ANDHRA PRADESH,NARSARAOPET,,,,,,,,,,
Maharashtra,Nashik,MAHARASHTRA,NASHIK,,,,,,,,,,
Andhra Pradesh,Nellore,ANDHRA PRADESH,NELLORE,,,,,,,,,,
Andhra Pradesh,Ongole,ANDHRA PRADESH,ONGOLE,,,,,,,,,,
Maharashtra,Osmanabad,MAHARASHTRA,OSMANABAD,,,,,,,,,,
Maharashtra,Parbhani,MAHARASHTRA,PARBHANI,,,,,,,,,,
Bihar,Patliputra,BIHAR,PATLIPUTRA,,,,,,,,,,
Telangana,Peddapalle,TELANGANA,PEDDAPALLE,,,,,,,,,,
Uttar Pradesh,Pratapgarh,UTTAR PRADESH,PRATAPGARH,,,,,,,,,,
Odisha,Puri,ODISHA,PURI,,,,,,,,,,
Haryana,ROHTAK,HARYANA,ROHTAK,,,,,,,,,,
Karnataka,Raichur,KARNATAKA,RAICHUR,,,,,,,,,,
Maharashtra,Ramtek,MAHARASHTRA,RAMTEK,,,,,,,,,,
Uttar Pradesh,Robertsganj,UTTAR PRADESH,ROBERTSGANJ,,,,,,,,,,
Haryana,SONIPAT,HARYANA,SONIPAT,,,,,,,,,,
Uttar Pradesh,Saharanpur,UTTAR PRADESH,SAHARANPUR,,,,,,,,,,
Bihar,Samastipur,BIHAR,SAMASTIPUR,,,,,,,,,,
Maharashtra,Sangli,MAHARASHTRA,SANGLI,,,,,,,,,,
Uttar Pradesh,Sant Kabir Nagar,UTTAR PRADESH,SANT KABIR NAGAR,,,,,,,,,,
Bihar,Sasaram,BIHAR,SASARAM,,,,,,,,,,
Maharashtra,Shirur,MAHARASHTRA,SHIRUR,,,,,,,,,,
Uttar Pradesh,Shrawasti,UTTAR PRADESH,SHRAWASTI,,,,,,,,,,
Maharashtra,Solapur,MAHARASHTRA,SOLAPUR,,,,,,,,,,
Uttar Pradesh,Sultanpur,UTTAR PRADESH,SULTANPUR,,,,,,,,,,
Rajasthan,TONK-SAWAI MADHOPUR,RAJASTHAN,TONK SAWAI MADHOPUR,,,,,,,,,,
West Bengal,Tamluk,WEST BENGAL,TAMLUK,,,,,,,,,,
Kerala,Thrissur,KERALA,THRISSUR,,,,,,,,,,
Meghalaya,Tura,MEGHALAYA,TURA,,,,,,,,,,
Tamil Nadu,VILUPPURAM,TAMIL NADU,VILUPPURAM,,,,,,,,,,
Bihar,Vaishali,BIHAR,VAISHALI,,,,,,,,,,
Andhra Pradesh,Visakhapatnam,ANDHRA PRADESH,VISAKHAPATNAM,,,,,,,,,,
Andhra Pradesh,Vizianagaram,ANDHRA PRADESH,VIZIANAGARAM,,,,,,,,,,
Telangana,Warangal,TELANGANA,WARANGAL,,,,,,,,,,
Karnataka,Bangalore South,KARNATAKA,BANGALORE SOUTH,,,,,,,,,,
West Bengal,Diamond harbour,WEST BENGAL,DIAMOND HARBOUR,,,,,,,,,,
Gujarat,Gandhinagar,GUJARAT,GANDHINAGAR,,,,,,,,,,
Telangana,Hyderabad,TELANGANA,HYDERABAD,,,,,,,,,,
Maharashtra,Mumbai North,MAHARASHTRA,MUMBAI NORTH,,,,,,,,,,
Maharashtra,Nagpur,MAHARASHTRA,NAGPUR,,,,,,,,,,
Uttar Pradesh,Rae Bareli,UTTAR PRADESH,RAE BARELI,,,,,,,,,,
Kerala,Thiruvananthapuram,KERALA,THIRUVANANTHAPURAM,,,,,,,,,,
Uttar Pradesh,Varanasi,UTTAR PRADESH,VARANASI,,,,,,,,,,
Kerala,Wayanad,KERALA,WAYANAD,,,,,,,,,,
