state,constituency,state_key,constituency_key,completion_category,exists_in_election_master,exists_in_frontend_constituencies,exists_in_geojson,exists_in_delimitation_reference,possible_state_alias,possible_constituency_alias,closest_delimitation_match,closest_frontend_match,skip_reason,districts_missing,autofill_rows_created,expected_core_fields,recommended_action
Chhattisgarh,RAIPUR,CHHATTISGARH,RAIPUR,partial_demographics_missing_core_fields,True,True,True,True,,,Raipur,Chhattisgarh / RAIPUR,partial_field_skip,,6,9,manual_research_required
Chhattisgarh,RAJNANDGAON,CHHATTISGARH,RAJNANDGAON,partial_demographics_missing_core_fields,True,True,True,True,,,Rajnandgaon,Chhattisgarh / RAJNANDGAON,partial_field_skip,,6,9,manual_research_required
Chhattisgarh,SURGUJA,CHHATTISGARH,SURGUJA,partial_demographics_missing_core_fields,True,True,True,True,,,Surguja,Chhattisgarh / SURGUJA,partial_field_skip,,6,9,manual_research_required
Dadra & Nagar Haveli and Daman & Diu,Dadar & Nagar Haveli,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DADAR NAGAR HAVELI,election_only_needs_demographics,True,True,False,False,,,,Dadra & Nagar Haveli and Daman & Diu / Dadar & Nagar Haveli,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Dadra & Nagar Haveli and Daman & Diu,Daman & Diu,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DAMAN DIU,election_only_needs_demographics,True,True,False,False,,,,Dadra & Nagar Haveli and Daman & Diu / Daman & Diu,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Goa,South Goa,GOA,SOUTH GOA,partial_demographics_missing_core_fields,True,True,True,True,,,South Goa,Goa / South Goa,partial_field_skip,,6,9,manual_research_required
Gujarat,Ahmedabad East,GUJARAT,AHMEDABAD EAST,partial_demographics_missing_core_fields,True,True,True,True,,,Ahmedabad East,Gujarat / Ahmedabad East,partial_field_skip,,6,9,manual_research_required
Gujarat,Ahmedabad West,GUJARAT,AHMEDABAD WEST,election_only_needs_demographics,True,True,True,True,,,Ahmedabad East,Gujarat / Ahmedabad East,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Gujarat,Amreli,GUJARAT,AMRELI,partial_demographics_missing_core_fields,True,True,True,True,,,Amreli,Gujarat / Amreli,partial_field_skip,,6,9,manual_research_required
Gujarat,Anand,GUJARAT,ANAND,partial_demographics_missing_core_fields,True,True,True,True,,,Anand,Gujarat / Anand,partial_field_skip,,6,9,manual_research_required
Gujarat,Banaskantha,GUJARAT,BANASKANTHA,partial_demographics_missing_core_fields,True,True,True,True,,,Banaskantha,Gujarat / Banaskantha,partial_field_skip,,6,9,manual_research_required
Gujarat,Bardoli,GUJARAT,BARDOLI,election_only_needs_demographics,True,True,True,True,,,Bardoli,Gujarat / Bardoli,partial_field_skip,,7,10,manual_research_required
Gujarat,Bharuch,GUJARAT,BHARUCH,partial_demographics_missing_core_fields,True,True,True,True,,,Bharuch,Gujarat / Bharuch,partial_field_skip,,6,9,manual_research_required
Gujarat,Bhavnagar,GUJARAT,BHAVNAGAR,partial_demographics_missing_core_fields,True,True,True,True,,,Bhavnagar,Gujarat / Bhavnagar,partial_field_skip,,6,9,manual_research_required
Gujarat,Chhota Udaipur,GUJARAT,CHHOTA UDAIPUR,election_only_needs_demographics,True,True,True,False,,,,Gujarat / Chhota Udaipur,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Gujarat,Dahod,GUJARAT,DAHOD,partial_demographics_missing_core_fields,True,True,True,True,,,Dahod,Gujarat / Dahod,partial_field_skip,,6,9,manual_research_required
Gujarat,Gandhinagar,GUJARAT,GANDHINAGAR,partial_demographics_missing_core_fields,True,True,True,True,,,Gandhinagar,Gujarat / Gandhinagar,partial_field_skip,,6,9,manual_research_required
Gujarat,Jamnagar,GUJARAT,JAMNAGAR,partial_demographics_missing_core_fields,True,True,True,True,,,Jamnagar,Gujarat / Jamnagar,partial_field_skip,,6,9,manual_research_required
Gujarat,Junagadh,GUJARAT,JUNAGADH,partial_demographics_missing_core_fields,True,True,True,True,,,Junagadh,Gujarat / Junagadh,partial_field_skip,,6,9,manual_research_required
Gujarat,Kachchh,GUJARAT,KACHCHH,partial_demographics_missing_core_fields,True,True,True,True,,,Kachchh,Gujarat / Kachchh,partial_field_skip,,6,9,manual_research_required
Gujarat,Kheda,GUJARAT,KHEDA,partial_demographics_missing_core_fields,True,True,True,True,,,Kheda,Gujarat / Kheda,partial_field_skip,,6,9,manual_research_required
Gujarat,Mahesana,GUJARAT,MAHESANA,partial_demographics_missing_core_fields,True,True,True,True,,,Mahesana,Gujarat / Mahesana,partial_field_skip,,6,9,manual_research_required
Gujarat,Navsari,GUJARAT,NAVSARI,election_only_needs_demographics,True,True,True,True,,,Navsari,Gujarat / Navsari,partial_field_skip,,7,10,manual_research_required
Gujarat,Panchmahal,GUJARAT,PANCHMAHAL,partial_demographics_missing_core_fields,True,True,True,True,,,Panchmahal,Gujarat / Panchmahal,partial_field_skip,,6,9,manual_research_required
Gujarat,Patan,GUJARAT,PATAN,partial_demographics_missing_core_fields,True,True,True,True,,,Patan,Gujarat / Patan,partial_field_skip,,6,9,manual_research_required
Gujarat,Porbandar,GUJARAT,PORBANDAR,partial_demographics_missing_core_fields,True,True,True,True,,,Porbandar,Gujarat / Porbandar,partial_field_skip,,6,9,manual_research_required
Gujarat,Rajkot,GUJARAT,RAJKOT,partial_demographics_missing_core_fields,True,True,True,True,,,Rajkot,Gujarat / Rajkot,partial_field_skip,,6,9,manual_research_required
Gujarat,Sabarkantha,GUJARAT,SABARKANTHA,partial_demographics_missing_core_fields,True,True,True,True,,,Sabarkantha,Gujarat / Sabarkantha,partial_field_skip,,6,9,manual_research_required
Gujarat,Surendranagar,GUJARAT,SURENDRANAGAR,partial_demographics_missing_core_fields,True,True,True,True,,,Surendranagar,Gujarat / Surendranagar,partial_field_skip,,6,9,manual_research_required
Gujarat,Vadodara,GUJARAT,VADODARA,partial_demographics_missing_core_fields,True,True,True,True,,,Vadodara,Gujarat / Vadodara,partial_field_skip,,6,9,manual_research_required
Gujarat,Valsad,GUJARAT,VALSAD,partial_demographics_missing_core_fields,True,True,True,True,,,Valsad,Gujarat / Valsad,partial_field_skip,,6,9,manual_research_required
Haryana,AMBALA,HARYANA,AMBALA,partial_demographics_missing_core_fields,True,True,True,True,,,Ambala,Haryana / AMBALA,partial_field_skip,,6,9,manual_research_required
Haryana,BHIWANI-MAHENDRAGARH,HARYANA,BHIWANI MAHENDRAGARH,election_only_needs_demographics,True,True,True,True,,,Bhiwani,Haryana / BHIWANI-MAHENDRAGARH,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Haryana,FARIDABAD,HARYANA,FARIDABAD,partial_demographics_missing_core_fields,True,True,True,True,,,Faridabad,Haryana / FARIDABAD,partial_field_skip,,6,9,manual_research_required
Haryana,SIRSA,HARYANA,SIRSA,partial_demographics_missing_core_fields,True,True,True,True,,,Sirsa,Haryana / SIRSA,partial_field_skip,,6,9,manual_research_required
Himachal Pradesh,KANGRA,HIMACHAL PRADESH,KANGRA,partial_demographics_missing_core_fields,True,True,True,True,,,Kangra,Himachal Pradesh / KANGRA,partial_field_skip,,6,9,manual_research_required
Himachal Pradesh,MANDI,HIMACHAL PRADESH,MANDI,partial_demographics_missing_core_fields,True,True,True,True,,,Mandi,Himachal Pradesh / MANDI,partial_field_skip,,6,9,manual_research_required
Himachal Pradesh,SHIMLA,HIMACHAL PRADESH,SHIMLA,election_only_needs_demographics,True,True,True,False,,,,Himachal Pradesh / SHIMLA,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Jammu and Kashmir,ANANTNAG-RAJOURI,JAMMU AND KASHMIR,ANANTNAG RAJOURI,election_only_needs_demographics,True,True,False,False,,,,Jammu and Kashmir / ANANTNAG-RAJOURI,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Jammu and Kashmir,BARAMULLA,JAMMU AND KASHMIR,BARAMULLA,election_only_needs_demographics,True,True,True,False,,,,Jammu and Kashmir / BARAMULLA,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Jammu and Kashmir,JAMMU,JAMMU AND KASHMIR,JAMMU,election_only_needs_demographics,True,True,True,False,,,,Jammu and Kashmir / JAMMU,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Jammu and Kashmir,SRINAGAR,JAMMU AND KASHMIR,SRINAGAR,election_only_needs_demographics,True,True,True,False,,,,Jammu and Kashmir / SRINAGAR,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Jammu and Kashmir,UDHAMPUR,JAMMU AND KASHMIR,UDHAMPUR,election_only_needs_demographics,True,True,True,False,,,,Jammu and Kashmir / UDHAMPUR,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Jharkhand,Chatra,JHARKHAND,CHATRA,partial_demographics_missing_core_fields,True,True,True,True,,,Chatra,Jharkhand / Chatra,partial_field_skip,,6,9,manual_research_required
Jharkhand,Dhanbad,JHARKHAND,DHANBAD,partial_demographics_missing_core_fields,True,True,True,True,,,Dhanbad,Jharkhand / Dhanbad,partial_field_skip,,6,9,manual_research_required
Jharkhand,Dumka,JHARKHAND,DUMKA,partial_demographics_missing_core_fields,True,True,True,True,,,Dumka,Jharkhand / Dumka,partial_field_skip,,6,9,manual_research_required
Jharkhand,Giridih,JHARKHAND,GIRIDIH,partial_demographics_missing_core_fields,True,True,True,True,,,Giridih,Jharkhand / Giridih,partial_field_skip,,6,9,manual_research_required
Jharkhand,Godda,JHARKHAND,GODDA,partial_demographics_missing_core_fields,True,True,True,True,,,Godda,Jharkhand / Godda,partial_field_skip,,6,9,manual_research_required
Jharkhand,Hazaribagh,JHARKHAND,HAZARIBAGH,election_only_needs_demographics,True,True,True,True,,,Hazaribagh,Jharkhand / Hazaribagh,partial_field_skip,,7,10,manual_research_required
Jharkhand,Jamshedpur,JHARKHAND,JAMSHEDPUR,partial_demographics_missing_core_fields,True,True,True,True,,,Jamshedpur,Jharkhand / Jamshedpur,partial_field_skip,,6,9,manual_research_required
Jharkhand,Khunti,JHARKHAND,KHUNTI,partial_demographics_missing_core_fields,True,True,True,True,,,Khunti,Jharkhand / Khunti,partial_field_skip,,6,9,manual_research_required
Jharkhand,Kodarma,JHARKHAND,KODARMA,partial_demographics_missing_core_fields,True,True,True,True,,,Kodarma,Jharkhand / Kodarma,partial_field_skip,,6,9,manual_research_required
Jharkhand,Lohardaga,JHARKHAND,LOHARDAGA,election_only_needs_demographics,True,True,True,False,,,,Jharkhand / Lohardaga,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Jharkhand,Palamu,JHARKHAND,PALAMU,partial_demographics_missing_core_fields,True,True,True,True,,,Palamu,Jharkhand / Palamu,partial_field_skip,,6,9,manual_research_required
Jharkhand,Rajmahal,JHARKHAND,RAJMAHAL,partial_demographics_missing_core_fields,True,True,True,True,,,Rajmahal,Jharkhand / Rajmahal,partial_field_skip,,6,9,manual_research_required
Jharkhand,Ranchi,JHARKHAND,RANCHI,partial_demographics_missing_core_fields,True,True,True,True,,,Ranchi,Jharkhand / Ranchi,partial_field_skip,,6,9,manual_research_required
Jharkhand,Singhbhum,JHARKHAND,SINGHBHUM,election_only_needs_demographics,True,True,True,False,,,,Jharkhand / Singhbhum,no_delimitation_mapping,,0,10,add_missing_delimitation_mapping
Karnataka,Bagalkot,KARNATAKA,BAGALKOT,partial_demographics_missing_core_fields,True,True,True,True,,,Bagalkot,Karnataka / Bagalkot,partial_field_skip,,6,9,manual_research_required
Karnataka,Bangalore North,KARNATAKA,BANGALORE NORTH,partial_demographics_missing_core_fields,True,True,True,True,,,"Bangalore Central 160 Sarvagnanagar, 161 C.V. Raman Nagar (SC)",Karnataka / Bangalore North,partial_field_skip,,6,9,manual_research_required
Karnataka,Bangalore Rural,KARNATAKA,BANGALORE RURAL,partial_demographics_missing_core_fields,True,True,True,True,,,"Bangalore Central 160 Sarvagnanagar, 161 C.V. Raman Nagar (SC)",Karnataka / Bangalore North,partial_field_skip,,6,9,manual_research_required
